"Bydele Navn","Roder","År","Måned","Antal borgere"
"Amager Vest","0339","2016","Februar","41"
"Amager Vest","0339","2016","Marts","37"
"Amager Vest","0340","2015","Januar","12"
"Amager Vest","0340","2015","Februar","9"
"Amager Vest","0340","2015","Marts","10"
"Amager Vest","0340","2015","April","10"
"Amager Vest","0340","2015","Maj","10"
"Amager Vest","0340","2015","Juni","12"
"Amager Vest","0340","2015","Juli","11"
"Amager Vest","0340","2015","August","8"
"Amager Vest","0340","2015","September","8"
"Amager Vest","0340","2015","Oktober","6"
"Amager Vest","0340","2015","November","6"
"Amager Vest","0340","2015","December","8"
"Amager Vest","0340","2016","Januar","9"
"Amager Vest","0340","2016","Februar","8"
"Amager Vest","0340","2016","Marts","7"
"Amager Vest","0341","2015","Januar","8"
"Amager Vest","0341","2015","Februar","8"
"Amager Vest","0341","2015","Marts","8"
"Amager Vest","0341","2015","April","8"
"Amager Vest","0341","2015","Maj","9"
"Amager Vest","0341","2015","Juni","8"
"Amager Vest","0341","2015","Juli","7"
"Amager Vest","0341","2015","August","6"
"Amager Vest","0341","2015","September","6"
"Amager Vest","0341","2015","Oktober","7"
"Amager Vest","0341","2015","November","5"
"Amager Vest","0341","2015","December","4"
"Amager Vest","0341","2016","Januar","6"
"Amager Vest","0341","2016","Februar","6"
"Amager Vest","0341","2016","Marts","7"
"Amager Vest","0342","2015","Januar","31"
"Amager Vest","0342","2015","Februar","38"
"Amager Vest","0342","2015","Marts","36"
"Amager Vest","0342","2015","April","32"
"Amager Vest","0342","2015","Maj","32"
"Amager Vest","0342","2015","Juni","31"
"Amager Vest","0342","2015","Juli","32"
"Amager Vest","0342","2015","August","31"
"Amager Vest","0342","2015","September","32"
"Amager Vest","0342","2015","Oktober","31"
"Amager Vest","0342","2015","November","30"
"Amager Vest","0342","2015","December","29"
"Amager Vest","0342","2016","Januar","31"
"Amager Vest","0342","2016","Februar","31"
"Amager Vest","0342","2016","Marts","31"
"Amager Vest","0343","2015","Januar","20"
"Amager Vest","0343","2015","Februar","22"
"Amager Vest","0343","2015","Marts","22"
