"Modtagerovergruppe","Bydele Navn","Roder","År","Måned","Antal borgere"
"Fleksjob – løntilskud og løn","Amager Vest","0331","2015","Marts","3"
"Fleksjob – løntilskud og løn","Amager Vest","0331","2015","April","3"
"Fleksjob – løntilskud og løn","Amager Vest","0331","2015","Maj","3"
"Fleksjob – løntilskud og løn","Amager Vest","0331","2015","Juni","3"
"Fleksjob – løntilskud og løn","Amager Vest","0331","2015","Juli","3"
"Fleksjob – løntilskud og løn","Amager Vest","0331","2015","August","3"
"Fleksjob – løntilskud og løn","Amager Vest","0331","2015","September","3"
"Fleksjob – løntilskud og løn","Amager Vest","0331","2015","Oktober","3"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","Januar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","Februar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","Marts","6"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","April","6"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","Maj","6"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","Juni","6"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","Juli","6"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","August","5"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","September","5"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","Oktober","6"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","November","6"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2015","December","5"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2016","Januar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2016","Februar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0332","2016","Marts","5"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","Januar","18"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","Februar","18"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","Marts","18"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","April","18"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","Maj","18"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","Juni","18"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","Juli","18"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","August","19"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","September","19"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","Oktober","19"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","November","19"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2015","December","19"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2016","Januar","20"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2016","Februar","20"
"Fleksjob – løntilskud og løn","Amager Vest","0333","2016","Marts","20"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","Januar","4"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","Februar","4"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","Marts","4"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","April","4"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","Maj","6"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","Juni","6"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","Juli","6"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","August","6"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","September","6"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","Oktober","6"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","November","6"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2015","December","7"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2016","Januar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2016","Februar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0334","2016","Marts","6"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","Januar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","Februar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","Marts","6"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","April","6"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","Maj","6"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","Juni","6"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","Juli","6"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","August","7"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","September","7"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","Oktober","7"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","November","7"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2015","December","7"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2016","Januar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2016","Februar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0339","2016","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","Januar","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","Februar","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","Marts","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","April","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","Maj","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","Juni","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","Juli","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","August","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","September","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","Oktober","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","November","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2015","December","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2016","Januar","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2016","Februar","3"
"Fleksjob – løntilskud og løn","Amager Vest","0340","2016","Marts","3"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","Januar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","Februar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","April","7"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","Maj","7"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","Juni","7"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","Juli","7"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","August","7"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","September","8"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","Oktober","8"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","November","8"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2015","December","8"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2016","Januar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2016","Februar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0341","2016","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","Januar","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","Februar","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","Marts","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","April","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","Maj","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","Juni","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","Juli","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","August","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","September","11"
"Fleksjob – løntilskud og løn","Amager Vest","0342","2015","Oktober","11"
