"Bydele Navn","Roder","År","Måned","Gennemsnitligt antal sager"
"Amager Vest","0334","2015","Oktober","23,25"
"Amager Vest","0334","2015","November","28,4"
"Amager Vest","0334","2015","December","30,75"
"Amager Vest","0334","2016","Januar","27,75"
"Amager Vest","0334","2016","Februar","28,4"
"Amager Vest","0334","2016","Marts","28,75"
"Amager Vest","0335","2015","Januar","3,25"
"Amager Vest","0335","2015","Marts","3,4"
"Amager Vest","0335","2015","April","3,75"
"Amager Vest","0335","2015","Maj","3,25"
"Amager Vest","0335","2015","Juni","3,8"
"Amager Vest","0335","2015","Juli","6,25"
"Amager Vest","0335","2015","August","6,4"
"Amager Vest","0335","2015","September","6"
"Amager Vest","0335","2015","Oktober","6"
"Amager Vest","0335","2015","November","5,4"
"Amager Vest","0335","2015","December","6,75"
"Amager Vest","0335","2016","Januar","5,75"
"Amager Vest","0335","2016","Februar","5"
"Amager Vest","0335","2016","Marts","6,25"
"Amager Vest","0336","2015","Januar","20,75"
"Amager Vest","0336","2015","Februar","21,25"
"Amager Vest","0336","2015","Marts","20,6"
"Amager Vest","0336","2015","April","25,5"
"Amager Vest","0336","2015","Maj","25,25"
"Amager Vest","0336","2015","Juni","23,4"
"Amager Vest","0336","2015","Juli","16"
"Amager Vest","0336","2015","August","15,6"
"Amager Vest","0336","2015","September","16"
"Amager Vest","0336","2015","Oktober","14"
"Amager Vest","0336","2015","November","13,2"
"Amager Vest","0336","2015","December","11,25"
"Amager Vest","0336","2016","Januar","12"
"Amager Vest","0336","2016","Februar","11,6"
"Amager Vest","0336","2016","Marts","9"
"Amager Vest","0337","2015","Oktober","3"
"Amager Vest","0337","2015","November","4"
"Amager Vest","0337","2015","December","3,75"
"Amager Vest","0337","2016","Januar","3"
"Amager Vest","0338","2015","Januar","3"
"Amager Vest","0338","2015","Februar","3,75"
"Amager Vest","0338","2015","Marts","3"
"Amager Vest","0338","2015","April","4,75"
"Amager Vest","0338","2015","Maj","5,5"
"Amager Vest","0338","2015","Juni","6,4"
"Amager Vest","0338","2015","Juli","6"
"Amager Vest","0338","2015","August","5,6"
"Amager Vest","0338","2015","September","4,75"
"Amager Vest","0338","2015","Oktober","5"
"Amager Vest","0338","2015","November","5,6"
"Amager Vest","0338","2015","December","7"
"Amager Vest","0338","2016","Januar","6,5"
"Amager Vest","0338","2016","Februar","4,6"
"Amager Vest","0338","2016","Marts","4,5"
"Amager Vest","0339","2015","Januar","25"
"Amager Vest","0339","2015","Februar","24,75"
"Amager Vest","0339","2015","Marts","22,4"
"Amager Vest","0339","2015","April","22,5"
"Amager Vest","0339","2015","Maj","22"
"Amager Vest","0339","2015","Juni","22,4"
"Amager Vest","0339","2015","Juli","17"
"Amager Vest","0339","2015","August","18,2"
"Amager Vest","0339","2015","September","20,5"
"Amager Vest","0339","2015","Oktober","21,75"
"Amager Vest","0339","2015","November","24,8"
"Amager Vest","0339","2015","December","27,25"
"Amager Vest","0339","2016","Januar","27"
"Amager Vest","0339","2016","Februar","28,6"
"Amager Vest","0339","2016","Marts","25,25"
"Amager Vest","0340","2015","April","3,25"
"Amager Vest","0340","2015","Maj","4"
"Amager Vest","0340","2015","Juni","5,2"
"Amager Vest","0340","2015","September","5,5"
"Amager Vest","0340","2015","Oktober","5,75"
"Amager Vest","0340","2015","November","5,4"
"Amager Vest","0340","2015","December","6,5"
"Amager Vest","0340","2016","Januar","8,25"
"Amager Vest","0340","2016","Februar","8,8"
"Amager Vest","0340","2016","Marts","10,5"
"Amager Vest","0341","2015","Januar","20,75"
"Amager Vest","0341","2015","Februar","15,75"
"Amager Vest","0341","2015","Marts","16,2"
"Amager Vest","0341","2015","April","15"
"Amager Vest","0341","2015","Maj","14,5"
"Amager Vest","0341","2015","Juni","15,4"
"Amager Vest","0341","2015","Juli","18"
"Amager Vest","0341","2015","August","15"
"Amager Vest","0341","2015","September","12,5"
"Amager Vest","0341","2015","Oktober","14,5"
"Amager Vest","0341","2015","November","14"
"Amager Vest","0341","2015","December","16"
"Amager Vest","0341","2016","Januar","17,75"
"Amager Vest","0341","2016","Februar","17,2"
"Amager Vest","0341","2016","Marts","17,75"
"Amager Vest","0342","2015","Januar","23,5"
"Amager Vest","0342","2015","Februar","23,5"
"Amager Vest","0342","2015","Marts","23,2"
"Amager Vest","0342","2015","April","23,25"
"Amager Vest","0342","2015","Maj","24,75"
"Amager Vest","0342","2015","Juni","23,4"
"Amager Vest","0342","2015","Juli","21"
"Amager Vest","0342","2015","August","21,6"
"Amager Vest","0342","2015","September","22,5"
"Amager Vest","0342","2015","Oktober","23"
"Amager Vest","0342","2015","November","24,2"
"Amager Vest","0342","2015","December","24,25"
"Amager Vest","0342","2016","Januar","23,5"
"Amager Vest","0342","2016","Februar","24,6"
"Amager Vest","0342","2016","Marts","21,75"
"Amager Vest","0343","2015","Januar","42"
"Amager Vest","0343","2015","Februar","45,75"
"Amager Vest","0343","2015","Marts","48,8"
"Amager Vest","0343","2015","April","45"
"Amager Vest","0343","2015","Maj","44,5"
"Amager Vest","0343","2015","Juni","41,8"
"Amager Vest","0343","2015","Juli","36,5"
"Amager Vest","0343","2015","August","31"
"Amager Vest","0343","2015","September","33"
"Amager Vest","0343","2015","Oktober","35,25"
"Amager Vest","0343","2015","November","37,6"
"Amager Vest","0343","2015","December","38,75"
"Amager Vest","0343","2016","Januar","39,5"
"Amager Vest","0343","2016","Februar","37,8"
"Amager Vest","0343","2016","Marts","34,75"
"Amager Vest","0344","2015","Januar","24,75"
"Amager Vest","0344","2015","Februar","23,5"
"Amager Vest","0344","2015","Marts","24,4"
"Amager Vest","0344","2015","April","21"
"Amager Vest","0344","2015","Maj","16,75"
"Amager Vest","0344","2015","Juni","10,4"
"Amager Vest","0344","2015","Juli","9,25"
"Amager Vest","0344","2015","August","11"
"Amager Vest","0344","2015","September","15"
"Amager Vest","0344","2015","Oktober","13,5"
"Amager Vest","0344","2015","November","14"
"Amager Vest","0344","2015","December","15"
"Amager Vest","0344","2016","Januar","16,25"
"Amager Vest","0344","2016","Februar","18,4"
"Amager Vest","0344","2016","Marts","18,75"
"Amager Vest","0345","2015","Januar","27,25"
"Amager Vest","0345","2015","Februar","25"
"Amager Vest","0345","2015","Marts","27,2"
"Amager Vest","0345","2015","April","27"
"Amager Vest","0345","2015","Maj","24,75"
"Amager Vest","0345","2015","Juni","24,4"
"Amager Vest","0345","2015","Juli","28,25"
"Amager Vest","0345","2015","August","26,4"
"Amager Vest","0345","2015","September","24,75"
"Amager Vest","0345","2015","Oktober","23,5"
"Amager Vest","0345","2015","November","25,2"
"Amager Vest","0345","2015","December","23,75"
"Amager Vest","0345","2016","Januar","28"
"Amager Vest","0345","2016","Februar","25"
"Amager Vest","0345","2016","Marts","23,75"
"Amager Vest","0346","2015","Januar","18"
"Amager Vest","0346","2015","Februar","19,75"
"Amager Vest","0346","2015","Marts","19,4"
"Amager Vest","0346","2015","April","19,5"
"Amager Vest","0346","2015","Maj","18,5"
"Amager Vest","0346","2015","Juni","23,4"
"Amager Vest","0346","2015","Juli","24,5"
"Amager Vest","0346","2015","August","23,2"
"Amager Vest","0346","2015","September","22,75"
"Amager Vest","0346","2015","Oktober","21,75"
"Amager Vest","0346","2015","November","25,4"
"Amager Vest","0346","2015","December","24,5"
"Amager Vest","0346","2016","Januar","23,5"
"Amager Vest","0346","2016","Februar","22"
"Amager Vest","0346","2016","Marts","20,25"
"Amager Vest","0347","2015","Januar","19,75"
"Amager Vest","0347","2015","Februar","24"
"Amager Vest","0347","2015","Marts","23,4"
"Amager Vest","0347","2015","April","24,5"
"Amager Vest","0347","2015","Maj","26,5"
"Amager Vest","0347","2015","Juni","29,8"
"Amager Vest","0347","2015","Juli","27,25"
"Amager Vest","0347","2015","August","25,8"
"Amager Vest","0347","2015","September","25,25"
"Amager Vest","0347","2015","Oktober","24,5"
"Amager Vest","0347","2015","November","26,8"
"Amager Vest","0347","2015","December","26,75"
"Amager Vest","0347","2016","Januar","30,75"
"Amager Vest","0347","2016","Februar","33"
"Amager Vest","0347","2016","Marts","32,5"
"Amager Vest","0348","2015","Januar","22,5"
"Amager Vest","0348","2015","Februar","21"
"Amager Vest","0348","2015","Marts","27,6"
"Amager Vest","0348","2015","April","26,5"
"Amager Vest","0348","2015","Maj","23,75"
"Amager Vest","0348","2015","Juni","21,4"
"Amager Vest","0348","2015","Juli","19,5"
"Amager Vest","0348","2015","August","22"
"Amager Vest","0348","2015","September","24,75"
"Amager Vest","0348","2015","Oktober","22,75"
"Amager Vest","0348","2015","November","24"
"Amager Vest","0348","2015","December","21,5"
"Amager Vest","0348","2016","Januar","23,25"
"Amager Vest","0348","2016","Februar","18,8"
"Amager Vest","0348","2016","Marts","16,5"
"Amager Vest","0349","2015","Januar","18,75"
"Amager Vest","0349","2015","Februar","16,5"
"Amager Vest","0349","2015","Marts","21,4"
"Amager Vest","0349","2015","April","23"
"Amager Vest","0349","2015","Maj","23,75"
"Amager Vest","0349","2015","Juni","23,8"
"Amager Vest","0349","2015","Juli","25,75"
"Amager Vest","0349","2015","August","25,2"
"Amager Vest","0349","2015","September","26"
"Amager Vest","0349","2015","Oktober","27"
"Amager Vest","0349","2015","November","24,2"
"Amager Vest","0349","2015","December","22,25"
"Amager Vest","0349","2016","Januar","22,75"
"Amager Vest","0349","2016","Februar","25"
"Amager Vest","0349","2016","Marts","29"
"Amager Vest","0350","2015","Januar","20,5"
"Amager Vest","0350","2015","Februar","19"
"Amager Vest","0350","2015","Marts","17,8"
"Amager Vest","0350","2015","April","18,5"
"Amager Vest","0350","2015","Maj","20"
"Amager Vest","0350","2015","Juni","20,6"
"Amager Vest","0350","2015","Juli","18,25"
"Amager Vest","0350","2015","August","17"
"Amager Vest","0350","2015","September","15,5"
"Amager Vest","0350","2015","Oktober","14,5"
"Amager Vest","0350","2015","November","16,4"
"Amager Vest","0350","2015","December","19,75"
"Amager Vest","0350","2016","Januar","20"
"Amager Vest","0350","2016","Februar","21,6"
"Amager Vest","0350","2016","Marts","20,75"
"Amager Vest","0351","2015","Januar","22,25"
"Amager Vest","0351","2015","Februar","20,5"
"Amager Vest","0351","2015","Marts","24"
"Amager Vest","0351","2015","April","26"
"Amager Vest","0351","2015","Maj","27,5"
"Amager Vest","0351","2015","Juni","27,8"
"Amager Vest","0351","2015","Juli","27,25"
"Amager Vest","0351","2015","August","30,2"
"Amager Vest","0351","2015","September","26,5"
"Amager Vest","0351","2015","Oktober","23,75"
"Amager Vest","0351","2015","November","22"
"Amager Vest","0351","2015","December","19,75"
"Amager Vest","0351","2016","Januar","19,75"
"Amager Vest","0351","2016","Februar","16,8"
"Amager Vest","0351","2016","Marts","20,25"
"Amager Vest","0352","2015","Januar","24,25"
"Amager Vest","0352","2015","Februar","22"
"Amager Vest","0352","2015","Marts","21,4"
"Amager Vest","0352","2015","April","24"
"Amager Vest","0352","2015","Maj","22,75"
"Amager Vest","0352","2015","Juni","21,8"
"Amager Vest","0352","2015","Juli","16,5"
"Amager Vest","0352","2015","August","14,8"
"Amager Vest","0352","2015","September","16,75"
"Amager Vest","0352","2015","Oktober","18,75"
"Amager Vest","0352","2015","November","22"
"Amager Vest","0352","2015","December","26,5"
"Amager Vest","0352","2016","Januar","27"
"Amager Vest","0352","2016","Februar","27,6"
"Amager Vest","0352","2016","Marts","28,5"
"Amager Vest","0353","2015","Januar","9,75"
"Amager Vest","0353","2015","Februar","13"
"Amager Vest","0353","2015","Marts","14,6"
"Amager Vest","0353","2015","April","16,5"
"Amager Vest","0353","2015","Maj","13,75"
"Amager Vest","0353","2015","Juni","13,8"
"Amager Vest","0353","2015","Juli","14,75"
"Amager Vest","0353","2015","August","14,8"
"Amager Vest","0353","2015","September","14,25"
"Amager Vest","0353","2015","Oktober","12,75"
"Amager Vest","0353","2015","November","15,2"
"Amager Vest","0353","2015","December","16"
"Amager Vest","0353","2016","Januar","16,25"
"Amager Vest","0353","2016","Februar","20,8"
"Amager Vest","0353","2016","Marts","20,5"
"Amager Vest","0354","2015","Januar","20"
"Amager Vest","0354","2015","Februar","18"
"Amager Vest","0354","2015","Marts","14,8"
"Amager Vest","0354","2015","April","18,25"
"Amager Vest","0354","2015","Maj","21,25"
"Amager Vest","0354","2015","Juni","17,8"
"Amager Vest","0354","2015","Juli","12"
"Amager Vest","0354","2015","August","12,4"
"Amager Vest","0354","2015","September","16"
"Amager Vest","0354","2015","Oktober","17"
"Amager Vest","0354","2015","November","20,6"
"Amager Vest","0354","2015","December","23"
"Amager Vest","0354","2016","Januar","23,75"
"Amager Vest","0354","2016","Februar","29,6"
"Amager Vest","0354","2016","Marts","31"
"Amager Vest","0355","2015","Januar","17,5"
"Amager Vest","0355","2015","Februar","16,75"
"Amager Vest","0355","2015","Marts","13,2"
"Amager Vest","0355","2015","April","12,75"
"Amager Vest","0355","2015","Maj","12,75"
"Amager Vest","0355","2015","Juni","13,6"
"Amager Vest","0355","2015","Juli","14"
"Amager Vest","0355","2015","August","15"
"Amager Vest","0355","2015","September","13,5"
"Amager Vest","0355","2015","Oktober","12,5"
"Amager Vest","0355","2015","November","12,8"
"Amager Vest","0355","2015","December","12,75"
"Amager Vest","0355","2016","Januar","8,75"
"Amager Vest","0355","2016","Februar","8,4"
"Amager Vest","0355","2016","Marts","9,25"
"Amager Vest","0356","2015","Januar","15,5"
"Amager Vest","0356","2015","Februar","14,25"
"Amager Vest","0356","2015","Marts","13,4"
"Amager Vest","0356","2015","April","12,25"
"Amager Vest","0356","2015","Maj","10,5"
"Amager Vest","0356","2015","Juni","12,6"
"Amager Vest","0356","2015","Juli","10,75"
"Amager Vest","0356","2015","August","11,2"
"Amager Vest","0356","2015","September","11,75"
"Amager Vest","0356","2015","Oktober","11"
"Amager Vest","0356","2015","November","11,8"
"Amager Vest","0356","2015","December","14,25"
"Amager Vest","0356","2016","Januar","12"
"Amager Vest","0356","2016","Februar","9,6"
"Amager Vest","0356","2016","Marts","8,25"
"Amager Vest","0357","2015","Januar","19"
"Amager Vest","0357","2015","Februar","19,5"
"Amager Vest","0357","2015","Marts","16,6"
"Amager Vest","0357","2015","April","18,5"
"Amager Vest","0357","2015","Maj","18,25"
"Amager Vest","0357","2015","Juni","15,8"
"Amager Vest","0357","2015","Juli","13,75"
"Amager Vest","0357","2015","August","15,4"
"Amager Vest","0357","2015","September","13,5"
"Amager Vest","0357","2015","Oktober","15,75"
"Amager Vest","0357","2015","November","16,8"
"Amager Vest","0357","2015","December","15,5"
"Amager Vest","0357","2016","Januar","17,25"
"Amager Vest","0357","2016","Februar","19,2"
"Amager Vest","0357","2016","Marts","15"
"Amager Vest","0390","2015","Januar","47,25"
"Amager Vest","0390","2015","Februar","44,25"
"Amager Vest","0390","2015","Marts","46,2"
"Amager Vest","0390","2015","April","46"
"Amager Vest","0390","2015","Maj","46"
"Amager Vest","0390","2015","Juni","50,4"
"Amager Vest","0390","2015","Juli","45,25"
"Amager Vest","0390","2015","August","45,6"
"Amager Vest","0390","2015","September","44,5"
"Amager Vest","0390","2015","Oktober","45,25"
"Amager Vest","0390","2015","November","48,4"
"Amager Vest","0390","2015","December","47,5"
"Amager Vest","0390","2016","Januar","43"
"Amager Vest","0390","2016","Februar","41,2"
"Amager Vest","0390","2016","Marts","40,75"
"Amager Vest","0391","2015","Januar","15,75"
"Amager Vest","0391","2015","Februar","19"
"Amager Vest","0391","2015","Marts","22,6"
"Amager Vest","0391","2015","April","25,75"
"Amager Vest","0391","2015","Maj","26,5"
"Amager Vest","0391","2015","Juni","26"
"Amager Vest","0391","2015","Juli","25,25"
"Amager Vest","0391","2015","August","25,2"
"Amager Vest","0391","2015","September","23,75"
"Amager Vest","0391","2015","Oktober","23,25"
"Amager Vest","0391","2015","November","21,6"
"Amager Vest","0391","2015","December","21"
"Amager Vest","0391","2016","Januar","19,5"
"Amager Vest","0391","2016","Februar","21"
"Amager Vest","0391","2016","Marts","22,25"
"Amager Øst","0323","2015","Januar","16,25"
"Amager Øst","0323","2015","Februar","18"
"Amager Øst","0323","2015","Marts","17,6"
"Amager Øst","0323","2015","April","17,75"
"Amager Øst","0323","2015","Maj","19,5"
"Amager Øst","0323","2015","Juni","18,2"
"Amager Øst","0323","2015","Juli","17"
"Amager Øst","0323","2015","August","16,4"
"Amager Øst","0323","2015","September","12,5"
"Amager Øst","0323","2015","Oktober","11"
"Amager Øst","0323","2015","November","13,2"
"Amager Øst","0323","2015","December","12,75"
"Amager Øst","0323","2016","Januar","13,75"
"Amager Øst","0323","2016","Februar","14,8"
"Amager Øst","0323","2016","Marts","17,25"
"Amager Øst","0358","2015","Januar","43,75"
"Amager Øst","0358","2015","Februar","39,75"
"Amager Øst","0358","2015","Marts","41,4"
"Amager Øst","0358","2015","April","39,75"
"Amager Øst","0358","2015","Maj","41"
"Amager Øst","0358","2015","Juni","37,6"
"Amager Øst","0358","2015","Juli","30,25"
"Amager Øst","0358","2015","August","34"
"Amager Øst","0358","2015","September","37"
"Amager Øst","0358","2015","Oktober","35,75"
"Amager Øst","0358","2015","November","39,2"
"Amager Øst","0358","2015","December","42,25"
"Amager Øst","0358","2016","Januar","44,5"
"Amager Øst","0358","2016","Februar","42,6"
"Amager Øst","0358","2016","Marts","42"
"Amager Øst","0359","2015","Januar","11,75"
"Amager Øst","0359","2015","Februar","13,5"
"Amager Øst","0359","2015","Marts","13,8"
"Amager Øst","0359","2015","April","15"
"Amager Øst","0359","2015","Maj","12"
"Amager Øst","0359","2015","Juni","11,4"
"Amager Øst","0359","2015","Juli","12,5"
"Amager Øst","0359","2015","August","13"
"Amager Øst","0359","2015","September","15"
"Amager Øst","0359","2015","Oktober","15,25"
"Amager Øst","0359","2015","November","20,2"
"Amager Øst","0359","2015","December","22,25"
"Amager Øst","0359","2016","Januar","19"
"Amager Øst","0359","2016","Februar","20,6"
"Amager Øst","0359","2016","Marts","17"
"Amager Øst","0360","2015","Januar","15"
"Amager Øst","0360","2015","Februar","14,75"
"Amager Øst","0360","2015","Marts","20"
"Amager Øst","0360","2015","April","19,75"
"Amager Øst","0360","2015","Maj","17,75"
"Amager Øst","0360","2015","Juni","17,4"
"Amager Øst","0360","2015","Juli","21"
"Amager Øst","0360","2015","August","20,2"
"Amager Øst","0360","2015","September","15"
"Amager Øst","0360","2015","Oktober","17"
"Amager Øst","0360","2015","November","18,8"
"Amager Øst","0360","2015","December","21,5"
"Amager Øst","0360","2016","Januar","22,25"
"Amager Øst","0360","2016","Februar","23"
"Amager Øst","0360","2016","Marts","20,75"
"Amager Øst","0361","2015","Januar","27,25"
"Amager Øst","0361","2015","Februar","28,5"
"Amager Øst","0361","2015","Marts","28,6"
"Amager Øst","0361","2015","April","36,5"
"Amager Øst","0361","2015","Maj","37"
"Amager Øst","0361","2015","Juni","34"
"Amager Øst","0361","2015","Juli","31,25"
"Amager Øst","0361","2015","August","27,2"
"Amager Øst","0361","2015","September","24,25"
"Amager Øst","0361","2015","Oktober","25,5"
"Amager Øst","0361","2015","November","26,4"
"Amager Øst","0361","2015","December","32"
"Amager Øst","0361","2016","Januar","27,75"
"Amager Øst","0361","2016","Februar","26,4"
"Amager Øst","0361","2016","Marts","23,5"
"Amager Øst","0362","2015","Januar","13,75"
"Amager Øst","0362","2015","Februar","13"
"Amager Øst","0362","2015","Marts","13,8"
"Amager Øst","0362","2015","April","12"
"Amager Øst","0362","2015","Maj","12,5"
"Amager Øst","0362","2015","Juni","10,6"
"Amager Øst","0362","2015","Juli","10,25"
"Amager Øst","0362","2015","August","11,8"
"Amager Øst","0362","2015","September","11,75"
"Amager Øst","0362","2015","Oktober","10,25"
"Amager Øst","0362","2015","November","11,6"
"Amager Øst","0362","2015","December","17,25"
"Amager Øst","0362","2016","Januar","17"
"Amager Øst","0362","2016","Februar","14"
"Amager Øst","0362","2016","Marts","13,25"
"Amager Øst","0363","2015","Januar","7,5"
"Amager Øst","0363","2015","Februar","6,75"
"Amager Øst","0363","2015","Marts","5,8"
"Amager Øst","0363","2015","April","5,25"
"Amager Øst","0363","2015","Maj","4,75"
"Amager Øst","0363","2015","Juni","4,2"
"Amager Øst","0363","2015","Juli","5"
"Amager Øst","0363","2015","August","5,4"
"Amager Øst","0363","2015","September","6"
"Amager Øst","0363","2015","Oktober","6"
"Amager Øst","0363","2015","November","5,8"
"Amager Øst","0363","2015","December","7,5"
"Amager Øst","0363","2016","Januar","6,75"
"Amager Øst","0363","2016","Februar","8,2"
"Amager Øst","0363","2016","Marts","6,25"
"Amager Øst","0364","2015","Januar","14,5"
"Amager Øst","0364","2015","Februar","15,25"
"Amager Øst","0364","2015","Marts","17,4"
"Amager Øst","0364","2015","April","13,5"
"Amager Øst","0364","2015","Maj","12,75"
"Amager Øst","0364","2015","Juni","14,8"
"Amager Øst","0364","2015","Juli","14,5"
"Amager Øst","0364","2015","August","13,8"
"Amager Øst","0364","2015","September","13,25"
"Amager Øst","0364","2015","Oktober","13,25"
"Amager Øst","0364","2015","November","17"
"Amager Øst","0364","2015","December","19"
"Amager Øst","0364","2016","Januar","18,5"
"Amager Øst","0364","2016","Februar","14,6"
"Amager Øst","0364","2016","Marts","11,75"
"Amager Øst","0365","2015","Januar","13,25"
"Amager Øst","0365","2015","Februar","13"
"Amager Øst","0365","2015","Marts","15,4"
"Amager Øst","0365","2015","April","15"
"Amager Øst","0365","2015","Maj","16"
"Amager Øst","0365","2015","Juni","16,6"
"Amager Øst","0365","2015","Juli","19,75"
