statsborgerskab	køn	alder	oprindelsesland	2006	2007	2008	2009	2010	2011	2012	2013
Dansk	Mænd	0-9 år	Madagaskar	1	1	1	1	0	1	0	0
Dansk	Mænd	0-9 år	Malawi	1	1	1	2	1	1	1	1
Dansk	Mænd	0-9 år	Mali	2	2	2	2	1	1	1	1
Dansk	Mænd	0-9 år	Marokko	776	763	770	739	703	685	651	606
Dansk	Mænd	0-9 år	Mauretanien	4	4	3	4	4	2	2	2
Dansk	Mænd	0-9 år	Mauritius	4	4	4	2	2	2	1	1
Dansk	Mænd	0-9 år	Mozambique	1	2	2	1	2	2	3	0
Dansk	Mænd	0-9 år	Namibia	2	2	2	3	3	2	2	2
Dansk	Mænd	0-9 år	Niger	1	1	1	0	0	0	1	3
Dansk	Mænd	0-9 år	Nigeria	21	24	23	31	41	43	45	41
Dansk	Mænd	0-9 år	Reunion	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Rwanda	4	5	8	12	14	20	21	20
Dansk	Mænd	0-9 år	Sao Tome og Principe	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Senegal	7	8	7	7	6	7	6	8
Dansk	Mænd	0-9 år	Seychellerne	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Sierra Leone	17	17	9	12	13	18	19	18
Dansk	Mænd	0-9 år	Somalia	1587	1609	1645	1674	1624	1531	1485	1399
Dansk	Mænd	0-9 år	Spanske besiddelser i Afrika	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Skt. Helena	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Sudan	10	16	16	20	18	20	28	29
Dansk	Mænd	0-9 år	Eswantini	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Sydafrika	15	11	10	13	12	14	13	12
Dansk	Mænd	0-9 år	Sydsudan	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Sydvestafrika	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Tanzania	23	23	32	40	39	43	44	41
Dansk	Mænd	0-9 år	Tchad	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Togo	10	7	8	8	7	10	11	13
Dansk	Mænd	0-9 år	Tunesien	93	87	80	89	91	92	84	82
Dansk	Mænd	0-9 år	Uganda	30	34	35	33	38	41	41	43
Dansk	Mænd	0-9 år	Zambia	3	4	7	7	8	8	9	11
Dansk	Mænd	0-9 år	Zimbabwe	0	0	0	2	2	3	4	5
Dansk	Mænd	0-9 år	Ækvatorialguinea	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Afrika uoplyst	1	1	1	1	1	1	2	2
Dansk	Mænd	0-9 år	Canada	16	17	15	14	15	19	19	18
Dansk	Mænd	0-9 år	USA	45	51	47	51	57	51	51	55
Dansk	Mænd	0-9 år	Nordamerika uoplyst	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Antigua og Barbuda	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Argentina	11	11	9	8	13	11	16	17
Dansk	Mænd	0-9 år	Aruba	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Bahamas	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Barbados	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Belize	2	3	3	3	2	2	0	0
Dansk	Mænd	0-9 år	Bermuda	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Bolivia	1	4	4	3	2	2	2	1
Dansk	Mænd	0-9 år	Brasilien	23	23	21	24	27	26	25	25
Dansk	Mænd	0-9 år	Britisk Vestindien	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Chile	22	21	18	21	22	22	21	19
Dansk	Mænd	0-9 år	Colombia	14	13	12	13	11	11	15	13
Dansk	Mænd	0-9 år	Costa Rica	2	1	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Cuba	3	2	2	3	4	3	3	4
Dansk	Mænd	0-9 år	Curacao	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Dominica	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Dominikanske Republik	1	1	1	1	0	0	0	1
Dansk	Mænd	0-9 år	Ecuador	1	1	2	3	3	3	6	7
Dansk	Mænd	0-9 år	El Salvador	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Falklandsøerne	0	0	0	0	0	0	0	0
