statsborgerskab	køn	alder	oprindelsesland	2006	2007	2008	2009	2010	2011	2012	2013
Dansk	Mænd	110 år +	Storbritannien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Sverige	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Tjekkiet	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Tjekkoslovakiet	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Tyrkiet	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	DDR	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Tyskland	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Ukraine	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Ungarn	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Vatikanstaten	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Østrig	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Europa uoplyst	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Algeriet	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Angola	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Benin	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Botswana	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Burkina Faso	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Burundi	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Cameroun	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Centralafrikanske Republik	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Comorerne	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Congo, Demokratiske Republik	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Congo, Republikken	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Djibouti	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Egypten	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Elfenbenskysten	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Eritrea	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Etiopien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Gabon	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Gambia	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Ghana	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Guinea	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Guinea-Bissau	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Kap Verde	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Kenya	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Lesotho	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Liberia	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Libyen	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Madagaskar	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Malawi	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Mali	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Marokko	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Mauretanien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Mauritius	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Mozambique	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Namibia	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Niger	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Nigeria	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Reunion	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Rwanda	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Sao Tome og Principe	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Senegal	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Seychellerne	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Sierra Leone	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Somalia	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Spanske besiddelser i Afrika	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Skt. Helena	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Sudan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Eswantini	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Sydafrika	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Sydsudan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Sydvestafrika	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Tanzania	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Tchad	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Togo	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Tunesien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Uganda	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Zambia	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Zimbabwe	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Ækvatorialguinea	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Afrika uoplyst	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Canada	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	USA	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Nordamerika uoplyst	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Antigua og Barbuda	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Argentina	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Aruba	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Bahamas	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Barbados	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Belize	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Bermuda	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Bolivia	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Brasilien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Britisk Vestindien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Chile	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Colombia	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Costa Rica	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Cuba	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Curacao	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Dominica	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Dominikanske Republik	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Ecuador	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	El Salvador	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Falklandsøerne	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Fransk Guyana	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Fransk Vestindien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Grenada	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Guadeloupe	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Guatemala	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Guyana	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Haiti	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Nederlandske Antiller	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Honduras	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Jamaica	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Martinique	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Mexico	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Nauru	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Nicaragua	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Panama	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Paraguay	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Peru	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Puerto Rico	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Skt. Kitts og Nevis	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Skt. Lucia	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Skt. Vincent og Grenadinerne	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Surinam	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Trinidad og Tobago	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Uruguay	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Venezuela	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Vestindiske Øer	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Syd- og Mellemamerika uoplyst	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Abu Dhabi	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Afghanistan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Armenien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Aserbajdsjan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Bahrain	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Bangladesh	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Bhutan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Brunei	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Cambodja	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Dubai	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Filippinerne	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Forenede Arabiske Emirater	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Georgien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Hongkong	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Indien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Indokina	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Indonesien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Irak	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Iran	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Israel	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Japan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Jordan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Kasakhstan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Kina	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Kirgisistan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Kuwait	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Laos	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Libanon	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Macao	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Malaysia	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Maldiverne	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Mellemøsten uoplyst	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Mongoliet	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Myanmar	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Nepal	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Nordkorea	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Oman	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Pakistan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Vestbredden og Gaza	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Qatar	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Saudi-Arabien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Sikkim	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Singapore	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Sri Lanka	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Sydkorea	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Syrien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Tadsjikistan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Taiwan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Thailand	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Trucial Oman	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Turkmenistan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Usbekistan	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Vietnam	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Nordyemen	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Yemen	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Asien uoplyst	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Australien	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Cookøerne	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Fiji	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Franske besiddelser i Stillehavet	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Kiribati	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Marshalløerne	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	New Zealand	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Papua Ny Guinea	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Salomonøerne	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Samoa	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Tonga	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Tuvalu	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Vanuatu	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Østtimor	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Øer i Stillehavet	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Statsløs	0	0	0	0	0	0	0	0
Dansk	Mænd	110 år +	Uoplyst	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Danmark	291425	290388	289282	288979	287815	286575	283691	280634
Dansk	Kvinder	0-9 år	Albanien	4	5	5	5	4	4	7	6
Dansk	Kvinder	0-9 år	Andorra	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Belgien	8	11	12	11	12	13	14	15
Dansk	Kvinder	0-9 år	Bosnien-Hercegovina	631	667	720	746	763	790	796	811
Dansk	Kvinder	0-9 år	Bulgarien	12	15	14	12	12	12	12	15
Dansk	Kvinder	0-9 år	Cypern	1	1	2	2	2	2	2	2
Dansk	Kvinder	0-9 år	Estland	6	7	9	12	14	16	15	14
Dansk	Kvinder	0-9 år	Finland	12	13	13	14	14	12	10	11
Dansk	Kvinder	0-9 år	Frankrig	28	28	25	25	26	26	24	26
Dansk	Kvinder	0-9 år	Grækenland	6	5	6	5	6	5	6	5
Dansk	Kvinder	0-9 år	Belarus	10	9	9	11	10	16	17	17
Dansk	Kvinder	0-9 år	Irland	5	5	5	4	3	3	3	3
Dansk	Kvinder	0-9 år	Island	19	24	19	24	23	25	24	24
Dansk	Kvinder	0-9 år	Italien	11	11	13	15	16	17	16	16
Dansk	Kvinder	0-9 år	Jugoslavien	444	477	481	478	443	405	375	348
Dansk	Kvinder	0-9 år	Jugoslavien, Forbundsrepublikken	21	35	49	68	72	74	75	73
Dansk	Kvinder	0-9 år	Kosovo	0	0	0	4	13	25	36	48
Dansk	Kvinder	0-9 år	Kroatien	14	11	14	15	15	16	13	13
Dansk	Kvinder	0-9 år	Letland	18	20	23	23	27	27	24	24
Dansk	Kvinder	0-9 år	Liechtenstein	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Litauen	16	23	25	28	35	39	43	47
Dansk	Kvinder	0-9 år	Luxembourg	1	2	2	2	2	2	2	2
Dansk	Kvinder	0-9 år	Nordmakedonien	161	161	176	187	177	177	173	173
Dansk	Kvinder	0-9 år	Malta	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Moldova	4	4	5	5	7	8	9	10
Dansk	Kvinder	0-9 år	Monaco	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Montenegro	0	0	0	0	4	5	6	6
Dansk	Kvinder	0-9 år	Nederlandene	25	22	22	21	21	22	23	23
Dansk	Kvinder	0-9 år	Nordirland	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Norge	50	44	45	44	44	49	54	58
Dansk	Kvinder	0-9 år	Polen	172	163	145	138	132	128	135	131
Dansk	Kvinder	0-9 år	Portugal	3	3	5	6	5	3	3	3
Dansk	Kvinder	0-9 år	Rumænien	53	50	53	54	60	56	58	60
Dansk	Kvinder	0-9 år	Rusland	53	56	65	64	62	67	73	84
Dansk	Kvinder	0-9 år	San Marino	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Schweiz	8	6	5	7	7	8	9	9
Dansk	Kvinder	0-9 år	Serbien	0	0	9	12	18	21	24	25
Dansk	Kvinder	0-9 år	Serbien og Montenegro	2	12	11	15	17	18	20	23
Dansk	Kvinder	0-9 år	Slovakiet	2	2	2	1	1	0	0	1
Dansk	Kvinder	0-9 år	Slovenien	0	1	1	1	3	3	3	3
Dansk	Kvinder	0-9 år	Sovjetunionen	14	12	12	12	15	17	16	14
Dansk	Kvinder	0-9 år	Spanien	15	18	16	16	14	16	19	26
Dansk	Kvinder	0-9 år	Storbritannien	88	88	78	77	79	77	80	78
Dansk	Kvinder	0-9 år	Sverige	98	97	97	97	100	101	105	105
Dansk	Kvinder	0-9 år	Tjekkiet	2	1	2	2	2	3	5	5
Dansk	Kvinder	0-9 år	Tjekkoslovakiet	8	9	9	10	9	9	8	8
Dansk	Kvinder	0-9 år	Tyrkiet	2968	2995	2857	2763	2684	2514	2367	2268
Dansk	Kvinder	0-9 år	DDR	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Tyskland	162	158	162	160	161	161	167	158
Dansk	Kvinder	0-9 år	Ukraine	23	23	21	27	36	34	32	31
Dansk	Kvinder	0-9 år	Ungarn	7	6	7	8	11	9	9	11
Dansk	Kvinder	0-9 år	Vatikanstaten	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Østrig	6	7	6	5	3	5	6	7
Dansk	Kvinder	0-9 år	Europa uoplyst	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Algeriet	87	89	87	80	77	82	73	69
Dansk	Kvinder	0-9 år	Angola	3	3	2	2	2	1	1	1
Dansk	Kvinder	0-9 år	Benin	2	2	2	2	2	1	1	1
Dansk	Kvinder	0-9 år	Botswana	0	0	0	1	1	2	1	2
Dansk	Kvinder	0-9 år	Burkina Faso	1	1	1	2	2	1	1	1
Dansk	Kvinder	0-9 år	Burundi	10	16	15	22	25	26	33	33
Dansk	Kvinder	0-9 år	Cameroun	2	3	4	7	8	8	12	14
Dansk	Kvinder	0-9 år	Centralafrikanske Republik	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Comorerne	3	3	3	3	3	2	2	1
Dansk	Kvinder	0-9 år	Congo, Demokratiske Republik	8	6	5	6	6	6	6	6
Dansk	Kvinder	0-9 år	Congo, Republikken	4	5	7	8	8	8	10	9
Dansk	Kvinder	0-9 år	Djibouti	4	4	4	4	3	5	5	5
Dansk	Kvinder	0-9 år	Egypten	80	83	81	83	77	71	71	72
Dansk	Kvinder	0-9 år	Elfenbenskysten	17	18	16	22	26	30	34	31
Dansk	Kvinder	0-9 år	Eritrea	30	34	35	31	31	31	32	28
Dansk	Kvinder	0-9 år	Etiopien	85	79	78	73	65	60	50	56
Dansk	Kvinder	0-9 år	Gabon	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Gambia	47	43	45	48	43	41	35	31
Dansk	Kvinder	0-9 år	Ghana	52	50	52	58	61	66	67	65
Dansk	Kvinder	0-9 år	Guinea	9	10	10	10	9	5	4	2
Dansk	Kvinder	0-9 år	Guinea-Bissau	3	3	3	2	1	1	0	0
Dansk	Kvinder	0-9 år	Kap Verde	0	0	1	0	0	0	0	0
Dansk	Kvinder	0-9 år	Kenya	16	16	18	19	20	18	20	22
Dansk	Kvinder	0-9 år	Lesotho	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Liberia	6	6	4	4	3	3	2	3
Dansk	Kvinder	0-9 år	Libyen	39	38	40	38	35	35	33	33
Dansk	Kvinder	0-9 år	Madagaskar	0	0	0	0	0	0	1	0
Dansk	Kvinder	0-9 år	Malawi	2	3	4	5	5	5	5	5
Dansk	Kvinder	0-9 år	Mali	1	1	1	1	4	2	4	5
Dansk	Kvinder	0-9 år	Marokko	784	752	730	699	663	651	610	597
Dansk	Kvinder	0-9 år	Mauretanien	3	3	2	2	2	2	2	1
Dansk	Kvinder	0-9 år	Mauritius	5	4	4	5	5	4	4	5
Dansk	Kvinder	0-9 år	Mozambique	2	2	1	3	2	5	5	4
Dansk	Kvinder	0-9 år	Namibia	1	1	2	2	2	2	1	1
Dansk	Kvinder	0-9 år	Niger	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Nigeria	22	23	24	29	31	31	34	34
Dansk	Kvinder	0-9 år	Reunion	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Rwanda	7	7	11	17	18	23	32	34
Dansk	Kvinder	0-9 år	Sao Tome og Principe	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Senegal	5	5	6	6	4	2	2	2
Dansk	Kvinder	0-9 år	Seychellerne	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Sierra Leone	8	9	11	12	14	12	16	17
Dansk	Kvinder	0-9 år	Somalia	1508	1509	1527	1549	1513	1476	1412	1374
Dansk	Kvinder	0-9 år	Spanske besiddelser i Afrika	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Skt. Helena	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Sudan	14	17	12	15	12	13	18	17
Dansk	Kvinder	0-9 år	Eswantini	0	0	1	1	0	0	0	1
Dansk	Kvinder	0-9 år	Sydafrika	16	14	11	13	14	11	11	9
Dansk	Kvinder	0-9 år	Sydsudan	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Sydvestafrika	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Tanzania	30	32	28	29	31	30	28	28
Dansk	Kvinder	0-9 år	Tchad	0	0	0	0	0	0	0	1
Dansk	Kvinder	0-9 år	Togo	4	3	3	2	4	6	5	4
Dansk	Kvinder	0-9 år	Tunesien	99	101	91	89	80	77	72	66
Dansk	Kvinder	0-9 år	Uganda	28	31	32	37	37	39	40	40
Dansk	Kvinder	0-9 år	Zambia	8	7	7	7	8	7	7	7
Dansk	Kvinder	0-9 år	Zimbabwe	0	1	1	1	4	3	5	6
Dansk	Kvinder	0-9 år	Ækvatorialguinea	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Afrika uoplyst	2	1	0	0	2	0	0	0
Dansk	Kvinder	0-9 år	Canada	14	13	9	8	6	4	8	10
Dansk	Kvinder	0-9 år	USA	61	64	51	54	53	55	49	40
Dansk	Kvinder	0-9 år	Nordamerika uoplyst	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Antigua og Barbuda	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Argentina	11	13	12	13	16	15	16	13
Dansk	Kvinder	0-9 år	Aruba	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Bahamas	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Barbados	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Belize	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Bermuda	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Bolivia	5	6	2	1	1	1	1	5
Dansk	Kvinder	0-9 år	Brasilien	13	18	18	21	24	26	24	23
Dansk	Kvinder	0-9 år	Britisk Vestindien	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Chile	36	36	34	31	35	33	26	21
Dansk	Kvinder	0-9 år	Colombia	9	12	9	13	11	10	11	11
Dansk	Kvinder	0-9 år	Costa Rica	0	0	1	1	1	2	2	2
Dansk	Kvinder	0-9 år	Cuba	2	3	3	3	3	3	4	3
Dansk	Kvinder	0-9 år	Curacao	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Dominica	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Dominikanske Republik	1	1	1	1	1	1	0	0
Dansk	Kvinder	0-9 år	Ecuador	6	5	4	5	7	6	6	4
Dansk	Kvinder	0-9 år	El Salvador	0	0	1	0	0	0	0	0
Dansk	Kvinder	0-9 år	Falklandsøerne	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Fransk Guyana	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Fransk Vestindien	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Grenada	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Guadeloupe	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Guatemala	0	0	0	0	1	2	2	2
Dansk	Kvinder	0-9 år	Guyana	2	2	2	2	2	3	3	3
Dansk	Kvinder	0-9 år	Haiti	0	1	0	0	0	0	0	1
Dansk	Kvinder	0-9 år	Nederlandske Antiller	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Honduras	0	0	0	0	2	2	3	4
Dansk	Kvinder	0-9 år	Jamaica	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Martinique	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Mexico	1	2	4	5	6	7	8	11
Dansk	Kvinder	0-9 år	Nauru	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Nicaragua	1	3	3	2	3	4	3	4
Dansk	Kvinder	0-9 år	Panama	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Paraguay	2	2	2	2	2	1	1	1
Dansk	Kvinder	0-9 år	Peru	7	9	9	8	10	10	12	11
Dansk	Kvinder	0-9 år	Puerto Rico	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Skt. Kitts og Nevis	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Skt. Lucia	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Skt. Vincent og Grenadinerne	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Surinam	1	1	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Trinidad og Tobago	3	4	2	2	3	3	2	0
Dansk	Kvinder	0-9 år	Uruguay	4	4	3	4	4	3	3	3
Dansk	Kvinder	0-9 år	Venezuela	6	6	6	6	5	4	4	3
Dansk	Kvinder	0-9 år	Vestindiske Øer	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Syd- og Mellemamerika uoplyst	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Abu Dhabi	0	0	0	0	0	0	0	0
Dansk	Kvinder	0-9 år	Afghanistan	262	293	333	367	442	485	550	595
