region	sex	age	country of origin	2013Q1	2013Q2	2013Q3	2013Q4	2014Q1	2014Q2	2014Q3	2014Q4
Copenhagen	Men	0-4 years	Total	19508	19623	19721	19617	19581	19607	19640	19646
Copenhagen	Men	0-4 years	Denmark	16165	16289	16351	16229	16225	16262	16249	16206
Copenhagen	Men	0-4 years	Albania	3	4	4	4	4	6	6	6
Copenhagen	Men	0-4 years	Andorra	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Belgium	7	7	7	7	7	6	9	8
Copenhagen	Men	0-4 years	Bosnia and Herzegovina	41	42	44	41	43	44	44	45
Copenhagen	Men	0-4 years	Bulgaria	23	22	20	25	28	31	30	32
Copenhagen	Men	0-4 years	Cyprus	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Estonia	13	14	15	13	11	11	9	8
Copenhagen	Men	0-4 years	Finland	13	15	16	19	18	17	17	18
Copenhagen	Men	0-4 years	France	28	31	32	35	35	36	37	39
Copenhagen	Men	0-4 years	Greece	4	2	2	3	3	4	4	4
Copenhagen	Men	0-4 years	Belarus	2	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Ireland	5	5	4	5	6	6	7	7
Copenhagen	Men	0-4 years	Iceland	83	80	79	77	71	71	70	72
Copenhagen	Men	0-4 years	Italy	28	28	35	35	33	32	30	33
Copenhagen	Men	0-4 years	Yugoslavia	53	53	54	48	45	44	47	47
Copenhagen	Men	0-4 years	Yugoslavia, Federal Republic	6	5	5	5	4	5	5	5
Copenhagen	Men	0-4 years	Kosovo	2	2	2	6	6	4	5	6
Copenhagen	Men	0-4 years	Croatia	3	3	3	3	3	3	3	4
Copenhagen	Men	0-4 years	Latvia	19	20	21	20	19	19	20	20
Copenhagen	Men	0-4 years	Liechtenstein	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Lithuania	31	38	40	40	42	37	38	35
Copenhagen	Men	0-4 years	Luxembourg	1	2	2	2	2	2	2	2
Copenhagen	Men	0-4 years	Republic of North Macedonia	82	81	80	76	77	75	78	79
Copenhagen	Men	0-4 years	Malta	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Moldova	1	1	2	3	3	3	2	4
Copenhagen	Men	0-4 years	Monaco	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Montenegro	1	1	1	1	2	3	3	3
Copenhagen	Men	0-4 years	Netherlands	17	18	20	21	21	22	22	24
Copenhagen	Men	0-4 years	Northern Ireland	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Norway	40	44	41	42	45	47	45	42
Copenhagen	Men	0-4 years	Poland	123	123	119	119	121	126	127	132
Copenhagen	Men	0-4 years	Portugal	10	10	9	10	10	12	14	13
Copenhagen	Men	0-4 years	Romania	23	23	26	26	30	34	33	35
Copenhagen	Men	0-4 years	Russia	28	27	25	27	29	26	29	34
Copenhagen	Men	0-4 years	San Marino	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Switzerland	4	4	4	4	5	5	6	6
Copenhagen	Men	0-4 years	Serbia	2	4	5	6	8	7	7	6
Copenhagen	Men	0-4 years	Serbia and Montenegro	2	4	4	4	3	4	4	3
Copenhagen	Men	0-4 years	Slovakia	5	4	4	4	4	3	4	4
Copenhagen	Men	0-4 years	Slovenia	3	3	2	1	1	1	1	2
Copenhagen	Men	0-4 years	Soviet Union	3	3	4	5	5	5	5	5
Copenhagen	Men	0-4 years	Spain	22	20	26	26	28	29	28	27
Copenhagen	Men	0-4 years	United Kingdom	60	58	57	56	58	63	63	66
Copenhagen	Men	0-4 years	Sweden	67	66	66	71	71	70	76	75
Copenhagen	Men	0-4 years	Czech Republic	5	5	7	6	4	5	5	6
Copenhagen	Men	0-4 years	Czechoslovakia	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Turkey	192	185	179	182	173	162	164	164
Copenhagen	Men	0-4 years	GDR	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Germany	65	65	65	65	69	66	70	76
Copenhagen	Men	0-4 years	Ukraine	21	22	24	23	23	21	23	25
Copenhagen	Men	0-4 years	Hungary	13	14	13	13	14	17	21	21
Copenhagen	Men	0-4 years	Vatican City State	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Austria	4	5	4	5	5	4	5	6
Copenhagen	Men	0-4 years	Europe not stated	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Algeria	16	14	12	14	15	15	15	16
Copenhagen	Men	0-4 years	Angola	1	1	1	0	0	0	0	0
Copenhagen	Men	0-4 years	Benin	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Botswana	0	0	0	0	0	0	1	1
Copenhagen	Men	0-4 years	Burkina Faso	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Burundi	6	6	7	7	7	7	7	7
Copenhagen	Men	0-4 years	Cameroon	12	11	11	14	14	13	13	13
Copenhagen	Men	0-4 years	Central African Republic	1	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Comoros	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Congo, Democratic Republic	3	3	3	3	3	4	5	3
Copenhagen	Men	0-4 years	Congo, Republic	2	2	3	3	3	3	3	3
Copenhagen	Men	0-4 years	Djibouti	3	3	3	3	2	2	3	3
Copenhagen	Men	0-4 years	Egypt	26	27	25	23	22	19	19	19
Copenhagen	Men	0-4 years	Ivory Coast	12	12	12	11	8	7	10	11
Copenhagen	Men	0-4 years	Eritrea	7	7	7	7	5	5	6	6
Copenhagen	Men	0-4 years	Ethiopia	15	12	13	14	14	13	16	19
Copenhagen	Men	0-4 years	Gabon	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Gambia, The	12	11	11	11	11	11	12	11
Copenhagen	Men	0-4 years	Ghana	25	24	22	25	23	26	25	23
Copenhagen	Men	0-4 years	Guinea	1	1	1	1	0	1	1	2
Copenhagen	Men	0-4 years	Guinea-Bissau	1	1	1	2	2	2	2	2
Copenhagen	Men	0-4 years	Cape Verde	2	2	2	3	4	4	4	4
Copenhagen	Men	0-4 years	Kenya	6	5	6	5	7	7	7	8
Copenhagen	Men	0-4 years	Lesotho	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Liberia	3	2	2	2	1	1	1	1
Copenhagen	Men	0-4 years	Libya	6	6	6	6	5	5	5	4
Copenhagen	Men	0-4 years	Madagascar	0	0	0	0	1	0	0	1
Copenhagen	Men	0-4 years	Malawi	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Mali	1	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Morocco	164	155	151	149	141	137	135	137
Copenhagen	Men	0-4 years	Mauritania	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Mauritius	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Mozambique	2	2	1	1	1	1	2	2
Copenhagen	Men	0-4 years	Namibia	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Niger	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Nigeria	23	21	22	19	20	19	19	20
Copenhagen	Men	0-4 years	Reunion	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Rwanda	0	1	2	3	3	3	3	3
Copenhagen	Men	0-4 years	Sao Tome and Principe	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Senegal	2	4	4	4	3	3	3	3
Copenhagen	Men	0-4 years	Seychelles	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Sierra Leone	7	8	8	9	9	8	10	11
Copenhagen	Men	0-4 years	Somalia	300	296	297	295	285	277	266	266
Copenhagen	Men	0-4 years	Spanish territories in Africa	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Saint Helena	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Sudan	11	12	12	14	10	11	10	11
Copenhagen	Men	0-4 years	Eswantini	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	South Africa	2	2	4	5	6	7	7	6
Copenhagen	Men	0-4 years	South Sudan	0	0	0	0	0	0	0	0
