region	sex	age	country of origin	2017Q1	2017Q2	2017Q3	2017Q4	2018Q1	2018Q2	2018Q3	2018Q4
Copenhagen	Men	0-4 years	Total	19935	20086	20151	20209	20184	20304	20452	20451
Copenhagen	Men	0-4 years	Denmark	16336	16434	16499	16539	16516	16629	16754	16729
Copenhagen	Men	0-4 years	Albania	5	5	6	6	6	5	4	5
Copenhagen	Men	0-4 years	Andorra	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Belgium	10	10	11	12	14	15	15	12
Copenhagen	Men	0-4 years	Bosnia and Herzegovina	48	46	53	56	63	66	65	66
Copenhagen	Men	0-4 years	Bulgaria	44	44	41	41	41	40	41	39
Copenhagen	Men	0-4 years	Cyprus	0	0	0	0	1	0	0	0
Copenhagen	Men	0-4 years	Estonia	6	7	6	10	9	10	11	12
Copenhagen	Men	0-4 years	Finland	20	19	17	20	20	25	24	25
Copenhagen	Men	0-4 years	France	40	45	42	41	42	47	49	47
Copenhagen	Men	0-4 years	Greece	13	15	14	12	13	13	13	14
Copenhagen	Men	0-4 years	Belarus	2	3	3	1	1	2	3	2
Copenhagen	Men	0-4 years	Ireland	6	3	3	5	5	5	5	5
Copenhagen	Men	0-4 years	Iceland	78	84	82	79	81	77	74	73
Copenhagen	Men	0-4 years	Italy	43	45	44	50	58	67	67	71
Copenhagen	Men	0-4 years	Yugoslavia	41	44	36	33	33	30	29	31
Copenhagen	Men	0-4 years	Yugoslavia, Federal Republic	4	3	4	4	3	3	3	3
Copenhagen	Men	0-4 years	Kosovo	5	5	6	7	9	9	9	8
Copenhagen	Men	0-4 years	Croatia	9	9	8	9	7	8	8	9
Copenhagen	Men	0-4 years	Latvia	17	16	16	17	20	20	21	23
Copenhagen	Men	0-4 years	Liechtenstein	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Lithuania	36	34	35	39	39	39	42	43
Copenhagen	Men	0-4 years	Luxembourg	2	2	2	2	0	0	0	0
Copenhagen	Men	0-4 years	Republic of North Macedonia	84	81	81	82	83	82	78	79
Copenhagen	Men	0-4 years	Malta	0	0	0	1	1	1	1	1
Copenhagen	Men	0-4 years	Moldova	3	3	3	3	3	4	3	1
Copenhagen	Men	0-4 years	Monaco	1	1	1	1	1	1	1	1
