region	sex	age	country of origin	2009Q1	2009Q2	2009Q3	2009Q4	2010Q1	2010Q2	2010Q3	2010Q4
Copenhagen	Men	0-4 years	Total	17122	17352	17503	17656	17935	18176	18314	18523
Copenhagen	Men	0-4 years	Denmark	13930	14136	14295	14446	14726	14949	15082	15244
Copenhagen	Men	0-4 years	Albania	0	0	0	0	0	1	1	0
Copenhagen	Men	0-4 years	Andorra	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Belgium	1	2	2	4	5	4	4	4
Copenhagen	Men	0-4 years	Bosnia and Herzegovina	27	27	28	32	36	36	37	38
Copenhagen	Men	0-4 years	Bulgaria	6	7	8	8	9	11	12	13
Copenhagen	Men	0-4 years	Cyprus	0	0	1	1	1	1	0	0
Copenhagen	Men	0-4 years	Estonia	4	5	7	7	8	10	10	11
Copenhagen	Men	0-4 years	Finland	18	22	21	21	20	17	17	18
Copenhagen	Men	0-4 years	France	27	25	25	25	23	25	25	26
Copenhagen	Men	0-4 years	Greece	1	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Belarus	0	0	0	0	1	2	2	2
Copenhagen	Men	0-4 years	Ireland	3	3	2	2	2	2	2	2
Copenhagen	Men	0-4 years	Iceland	75	80	75	70	73	74	78	76
Copenhagen	Men	0-4 years	Italy	10	12	10	10	12	12	12	14
Copenhagen	Men	0-4 years	Yugoslavia	72	73	71	70	68	62	60	63
Copenhagen	Men	0-4 years	Yugoslavia, Federal Republic	10	8	8	8	7	7	7	7
Copenhagen	Men	0-4 years	Kosovo	0	0	0	0	0	1	1	1
Copenhagen	Men	0-4 years	Croatia	7	8	6	5	5	5	5	4
Copenhagen	Men	0-4 years	Latvia	3	4	7	8	11	14	15	17
Copenhagen	Men	0-4 years	Liechtenstein	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Lithuania	24	27	27	33	29	33	31	32
Copenhagen	Men	0-4 years	Luxembourg	1	1	1	1	0	0	0	0
Copenhagen	Men	0-4 years	Republic of North Macedonia	85	83	81	81	90	92	91	95
Copenhagen	Men	0-4 years	Malta	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Moldova	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Monaco	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Montenegro	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Netherlands	6	4	2	4	4	3	6	9
Copenhagen	Men	0-4 years	Northern Ireland	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Norway	40	38	42	40	39	41	42	43
Copenhagen	Men	0-4 years	Poland	58	67	70	70	68	71	68	70
Copenhagen	Men	0-4 years	Portugal	7	8	8	9	8	8	7	7
Copenhagen	Men	0-4 years	Romania	13	16	16	18	18	22	21	21
Copenhagen	Men	0-4 years	Russia	21	26	26	23	25	25	25	26
Copenhagen	Men	0-4 years	San Marino	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Switzerland	5	6	5	5	5	5	6	9
Copenhagen	Men	0-4 years	Serbia	2	2	1	1	1	1	1	0
Copenhagen	Men	0-4 years	Serbia and Montenegro	3	2	1	2	3	2	2	3
Copenhagen	Men	0-4 years	Slovakia	2	2	2	4	5	5	5	6
Copenhagen	Men	0-4 years	Slovenia	1	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Soviet Union	3	3	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Spain	6	6	6	8	8	12	11	14
Copenhagen	Men	0-4 years	United Kingdom	39	39	42	45	41	41	42	44
Copenhagen	Men	0-4 years	Sweden	49	52	50	52	52	50	53	57
Copenhagen	Men	0-4 years	Czech Republic	4	4	4	5	6	10	10	9
Copenhagen	Men	0-4 years	Czechoslovakia	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Turkey	250	251	249	240	234	231	229	227
Copenhagen	Men	0-4 years	GDR	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Germany	41	49	51	56	58	57	62	64
Copenhagen	Men	0-4 years	Ukraine	13	15	14	15	16	16	17	19
