FID,id,wkb_geometry,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,lokaludvalg,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,kommentar,har_sensor,puma_geoobjektid
affaldskurve_puma.4563,4563,MULTIPOINT ((12.571879215850362 55.6734787354191)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,H.C. Andersens Blvd. ,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,8a247de8-5cf2-42d0-afe4-3075a0812b1b
affaldskurve_puma.4564,4564,MULTIPOINT ((12.588660116102233 55.685523940771965)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Store Kongensgade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,d551c881-b3ce-4998-b745-152ad073e608
affaldskurve_puma.4565,4565,MULTIPOINT ((12.561207709184425 55.69104868840986)),IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Gade med grønt,Blegdamsvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,1bddbeec-ec1c-44a0-9e60-2d0ac10b994c
affaldskurve_puma.4566,4566,MULTIPOINT ((12.542680820637433 55.68852516135791)),IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Grøn plads,Nuuks Plads,Metro,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,468efadb-f55d-4e1f-a3d1-a3eb9baedcfa
affaldskurve_puma.4567,4567,MULTIPOINT ((12.587219390457562 55.704210699829275)),IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Øvrig gade,Strandboulevarden,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,true,d9efa8ec-7e60-4150-9cf4-2f2db7af1e31
affaldskurve_puma.4568,4568,MULTIPOINT ((12.640715563316402 55.65056720294764)),IDrift,Bydækkende drift,,,,Amager Øst,Gader og pladser,Gade med grønt,Amager Strandvej,,12.2.1 Andre Typer,785d4c6b-9993-4d51-b81f-15ddff3ef667,Grillkurv,false,121645da-69f1-4162-84d8-69c482e22d9a
affaldskurve_puma.4569,4569,MULTIPOINT ((12.580076089838778 55.67908508345425)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,953dbd7f-5fd4-4f7b-837d-d324fe344376
affaldskurve_puma.4572,4572,MULTIPOINT ((12.555851811020766 55.68961449196391)),IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Øvrig gade,Nørrebrogade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,true,75dff31e-04c6-45b1-a8e3-f21bf38d1792
affaldskurve_puma.4573,4573,MULTIPOINT ((12.60027666611457 55.6613246754085)),IDrift,Bydækkende drift,,,,,,,,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,0426f029-4e9e-4d14-b9ef-1a5278e0e794
affaldskurve_puma.4574,4574,MULTIPOINT ((12.588950083773515 55.68506363169013)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,93cb4dbf-a069-4d7d-a1e3-34e1cd557f11
affaldskurve_puma.4575,4575,MULTIPOINT ((12.588786230616606 55.69833861388028)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,1a0abe83-12e4-4a3f-9fb7-009a6bc8d7a9
affaldskurve_puma.4576,4576,MULTIPOINT ((12.490136421780624 55.721081895565234)),IDrift,Bydækkende drift,,,,Brønshøj-Husum ,Gader og pladser,Gade med grønt,Gade i Brønshøj-Husum,Vendeplads,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,24add474-32dc-45ad-a9ed-4b47a27e14cb
affaldskurve_puma.4577,4577,MULTIPOINT ((12.591998088539304 55.70739414568753)),IDrift,Bydækkende drift,,,,,,,,,12.2.8 Pizzakurv,8755aaa9-70d1-49d7-b3aa-415dcf01d0d2,,false,3ff83ddc-fa58-44f1-9048-ba604f84c997
affaldskurve_puma.4578,4578,MULTIPOINT ((12.571843976040608 55.67755057457531)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.6 Pariserkurv,69882c55-185c-45d9-a785-f7839e1da8dd,,false,0ea8d915-564b-4887-acb9-40f6c7b0848d
affaldskurve_puma.4579,4579,MULTIPOINT ((12.502655506468454 55.69647586235858)),IDrift,Bydækkende drift,,,,Vanløse,Gader og pladser,Øvrig gade,Gade i Vanløse,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,16e0390a-fea7-4e9d-ad0d-657ae2d702bd
affaldskurve_puma.4580,4580,MULTIPOINT ((12.577786801319323 55.6775267826841)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig plads,Gammel Strand,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,dd3a1542-562e-4d1b-a9b6-f1568e1a285d
affaldskurve_puma.4582,4582,MULTIPOINT ((12.58268474184293 55.67572503390364)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Gade i Indre by,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,91c43d3a-56ae-4931-ad5f-9bb5ba02b83e
affaldskurve_puma.4584,4584,MULTIPOINT ((12.590014567886179 55.67969492799077)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,eaf5c688-9cd3-41ee-afae-2f92aa3db4de
affaldskurve_puma.4585,4585,MULTIPOINT ((12.554081270163975 55.70664049115616)),IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Gade med grønt,Haraldsgade,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,true,cf7c6607-afaf-4e35-8322-261ad6cf775e
affaldskurve_puma.4587,4587,MULTIPOINT ((12.565287423967343 55.70838313381678)),IDrift,Bydækkende drift,,,,Østerbro,Gader og pladser,Gade med grønt,Kvarteret ved Skt. Kjelds Plads,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,d8580207-1ca8-417e-a293-e690403ad7b3
affaldskurve_puma.4588,4588,MULTIPOINT ((12.553578443683653 55.67245707188401)),IDrift,Bydækkende drift,,,,Kongens Enghave,Gader og pladser,Øvrig gade,Vesterbrogade,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,4178380c-bd3b-439d-89b2-a18f33a799d9
affaldskurve_puma.4590,4590,MULTIPOINT ((12.572991536074976 55.68085078742941)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,419a33e0-a1a3-4e95-88b8-3ff2926fc1cd
affaldskurve_puma.4591,4591,MULTIPOINT ((12.49690844422732 55.66836697587173)),IDrift,Bydækkende drift,,,,Valby,Gader og pladser,Gade med grønt,Valby Langgade,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,f5bc7ea0-c794-40d1-b3f4-d753fd0afa0b
affaldskurve_puma.4592,4592,MULTIPOINT ((12.555313383848361 55.68760692185004)),IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Øvrig plads,Prins Jørgens Gade,,12.2.12 Container,35427b70-1c1d-4f3c-8907-927ca9c3828e,660L G,false,e60dcdee-dcd5-4d3c-824c-b2091e3baad2
affaldskurve_puma.4593,4593,MULTIPOINT ((12.538508161843728 55.70009947882189)),IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Øvrig plads,Folmer Bendtsens Plads,Metro,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,ce8b5b68-643d-4f48-9da8-0489d89bd9ec
affaldskurve_puma.4594,4594,MULTIPOINT ((12.575061970370124 55.67321917933124)),IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,081bd080-bb0d-45c6-b183-8ec997e3f1b5
affaldskurve_puma.4595,4595,MULTIPOINT ((12.555015638245695 55.672232979662354)),IDrift,Bydækkende drift,,,,Vesterbro,Gader og pladser,Øvrig plads,Vesterbro Torv,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,f07a9f88-1c64-44f8-996a-26f570805990
affaldskurve_puma.4596,4596,MULTIPOINT ((12.591897580862659 55.67330965705591)),IDrift,Bydækkende drift,,,,Christianshavn,Gader og pladser,Gade med grønt,Gade i Indre By,,12.2.5 Maxikurv,5752b012-b2f2-44e9-8f78-8380cae08c06,,false,a75976b0-8006-4c03-94e1-cbc005028929
affaldskurve_puma.4597,4597,MULTIPOINT ((12.582047736745267 55.66523815725118)),IDrift,Bydækkende drift,,,,Amager Vest,Gader og pladser,Øvrig gade,Islands Brygge Kvarter,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,c4a07328-babc-4bc4-9c4d-f7c99a04806f
affaldskurve_puma.4598,4598,MULTIPOINT ((12.469556881578264 55.69948303991007)),IDrift,Bydækkende drift,,,,Vanløse,Gader og pladser,Gade med grønt,Gade i Vanløse,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,282f3dbe-4cb3-4f28-a6b6-64d56b8278af
affaldskurve_puma.4601,4601,MULTIPOINT ((12.549278233222946 55.69483242478385)),IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Gade med grønt,Jagtvej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,7bf47a8f-3a57-4a47-90e5-629d97e18997
