unit	ownership	district	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Total square meters occupied dwellings	Private rental	District - Vesterbro/Kongens Enghave	628864.0	602735.0	593579.0	580784.0	574740.0	786381.0	641966.0	627035.0	551801.0	515154.0	486744.0	472734.0	469259.0	449785.0	439811.0	431534.0	455467.0	464056.0	496783.0	525833.0	547993.0	552797.0	544274.0	552190.0	556049.0	552597.0	613569.0	714448.0	771614.0	865805.0	912130.0
Total square meters occupied dwellings	Private rental	District - Valby	508503.0	473995.0	489739.0	463337.0	457125.0	554766.0	479996.0	462020.0	433795.0	423403.0	412932.0	410835.0	401957.0	356988.0	349841.0	358877.0	334181.0	348229.0	357209.0	378727.0	380471.0	388705.0	384937.0	402511.0	407944.0	417228.0	455779.0	507077.0	557047.0	600168.0	642010.0
Total square meters occupied dwellings	Private rental	District - Vanløse	442499.0	428852.0	444889.0	428820.0	437879.0	436366.0	388471.0	385469.0	372796.0	365918.0	353272.0	350512.0	346250.0	346917.0	335692.0	336285.0	317203.0	320331.0	319794.0	334626.0	344667.0	379985.0	381879.0	390835.0	389075.0	382352.0	382225.0	386787.0	390774.0	393574.0	391645.0
Total square meters occupied dwellings	Private rental	District - Brønshøj-Husum	234872.0	230004.0	241780.0	226473.0	223775.0	268782.0	237931.0	184956.0	173623.0	170676.0	165458.0	158454.0	156784.0	149173.0	150345.0	145813.0	143222.0	147007.0	158018.0	158267.0	163815.0	164086.0	171097.0	173362.0	171257.0	167416.0	169145.0	166284.0	173183.0	178875.0	177744.0
Total square meters occupied dwellings	Private rental	District - Bispebjerg	397895.0	390871.0	390251.0	370138.0	372191.0	633570.0	439215.0	435557.0	384076.0	350248.0	341887.0	336277.0	313394.0	299083.0	299886.0	321235.0	301732.0	336394.0	349736.0	381130.0	388917.0	417583.0	421186.0	431977.0	429956.0	433695.0	434875.0	440379.0	475408.0	475629.0	477491.0
Total square meters occupied dwellings	Private rental	District - Amager Øst	588056.0	559535.0	569312.0	567890.0	561438.0	617345.0	553829.0	510930.0	470474.0	445937.0	432649.0	418157.0	414018.0	403226.0	413596.0	417984.0	417201.0	438776.0	428754.0	429905.0	442066.0	441216.0	459799.0	473467.0	511539.0	510683.0	506662.0	502479.0	523787.0	560135.0	595491.0
Total square meters occupied dwellings	Private rental	District - Amager Vest	656597.0	640081.0	652319.0	643510.0	635518.0	594039.0	560275.0	538410.0	521465.0	515400.0	512743.0	392647.0	384334.0	372297.0	381501.0	414921.0	485466.0	556766.0	550360.0	567842.0	592185.0	613224.0	595107.0	621842.0	624980.0	602814.0	627464.0	654051.0	728991.0	850586.0	886872.0
Total square meters occupied dwellings	Private rental	Polling area - 1. Østerbro	274349.0	265703.0	266038.0	262695.0	267303.0	300398.0	303641.0	297924.0	295432.0	293738.0	277166.0	276268.0	272915.0	258618.0	257843.0	252202.0	245698.0	249830.0	251716.0	258939.0	264627.0	266090.0	265899.0	256242.0	255863.0	245543.0	246969.0	246320.0	245046.0	256039.0	255540.0
Total square meters occupied dwellings	Private rental	Polling area - 1. Øst	109447.0	108132.0	106877.0	105991.0	115869.0	115619.0	106132.0	105826.0	103115.0	105497.0	105816.0	119801.0	124001.0	121611.0	104396.0	98586.0	106466.0	112655.0	120970.0	121104.0	124742.0	123688.0	125600.0	126475.0	122019.0	139781.0	172225.0	198372.0	178680.0	188115.0	192443.0
Total square meters occupied dwellings	Private rental	Polling area - 1. Nord	170373.0	167685.0	171246.0	163163.0	161164.0	175188.0	158538.0	153557.0	152815.0	151318.0	153143.0	150077.0	147443.0	147310.0	131001.0	105347.0	103488.0	104426.0	105016.0	103031.0	104903.0	104333.0	106800.0	105057.0	105393.0	102694.0	102885.0	94184.0	89422.0	93990.0	89955.0
Total square meters occupied dwellings	Private rental	Polling area - 1. Syd	316121.0	307712.0	307834.0	306202.0	305259.0	300996.0	296557.0	280650.0	268610.0	263099.0	256081.0	260288.0	238803.0	227279.0	245163.0	239211.0	249048.0	237563.0	234007.0	236267.0	237483.0	238837.0	234743.0	234492.0	232591.0	227250.0	226825.0	226511.0	221691.0	219944.0	218911.0
Total square meters occupied dwellings	Private rental	Polling area - 1. Vest	219847.0	219160.0	222392.0	189066.0	183527.0	218000.0	181170.0	180076.0	169919.0	165125.0	151956.0	149346.0	152508.0	147566.0	144692.0	163700.0	160226.0	152542.0	155219.0	151247.0	152897.0	156108.0	158772.0	158770.0	163724.0	161197.0	167042.0	178181.0	176413.0	177273.0	176218.0
Total square meters occupied dwellings	Private rental	Polling area - 1. Nordvest	172655.0	167892.0	157801.0	160400.0	157576.0	179191.0	163190.0	164152.0	143102.0	141685.0	139913.0	135345.0	137202.0	131123.0	131092.0	144580.0	143595.0	148497.0	150539.0	128871.0	129180.0	133969.0	137917.0	137057.0	136445.0	135396.0	133959.0	131694.0	133371.0	134596.0	147246.0
Total square meters occupied dwellings	Private rental	Polling area - 2. Sundbyvester	131843.0	125217.0	129812.0	125445.0	125070.0	123511.0	119428.0	118508.0	100725.0	104590.0	99622.0	85416.0	83438.0	82612.0	74332.0	75184.0	83500.0	79056.0	84645.0	84688.0	85978.0	90338.0	92119.0	95102.0	96990.0	88914.0	80319.0	74848.0	76004.0	77797.0	80403.0
Total square meters occupied dwellings	Private rental	Polling area - 2. Nord	242621.0	231009.0	230744.0	232588.0	225210.0	221203.0	218876.0	198315.0	207172.0	196314.0	196324.0	195150.0	190251.0	178986.0	178109.0	178146.0	160945.0	161998.0	167689.0	171893.0	176777.0	175065.0	183465.0	191076.0	182322.0	181441.0	175235.0	173520.0	190396.0	179267.0	182161.0
Total square meters occupied dwellings	Private rental	Polling area - 2. Syd	17828.0	17463.0	17919.0	17542.0	17617.0	17616.0	17469.0	17670.0	15553.0	15249.0	18003.0	18571.0	19079.0	18461.0	19254.0	21266.0	26319.0	80746.0	82639.0	89850.0	105255.0	123698.0	108356.0	114917.0	110690.0	109159.0	130503.0	172322.0	230207.0	352309.0	394867.0
Total square meters occupied dwellings	Private rental	Polling area - 2. Øst	36129.0	37523.0	43946.0	38467.0	37739.0	49724.0	34290.0	34613.0	32933.0	34459.0	34351.0	33677.0	32460.0	32824.0	34974.0	41123.0	76323.0	79172.0	70436.0	72519.0	71255.0	70197.0	68497.0	68975.0	70286.0	71891.0	86016.0	88939.0	88256.0	87022.0	79074.0
Total square meters occupied dwellings	Private rental	Polling area - 2. Vest	228176.0	228869.0	229898.0	229468.0	229882.0	181985.0	170212.0	169304.0	165082.0	164788.0	164443.0	59833.0	59106.0	59414.0	74832.0	99202.0	138379.0	155794.0	144951.0	148892.0	152920.0	153926.0	142670.0	151772.0	164692.0	151409.0	155391.0	144422.0	144128.0	154191.0	150367.0
Total square meters occupied dwellings	Private rental	Polling area - 3. Indre By	415797.0	418103.0	422346.0	420194.0	420979.0	422449.0	412013.0	401652.0	396377.0	388959.0	383029.0	378621.0	377056.0	375425.0	374020.0	369574.0	366306.0	372214.0	376571.0	387598.0	392259.0	401319.0	411162.0	416504.0	415229.0	422135.0	424583.0	423784.0	430898.0	447313.0	441738.0
Total square meters occupied dwellings	Private rental	Polling area - 3. Nord	257597.0	258008.0	258835.0	251309.0	249639.0	246732.0	241073.0	236517.0	232989.0	228183.0	228480.0	219626.0	218156.0	218901.0	219413.0	215829.0	209042.0	210758.0	211646.0	211505.0	214662.0	243574.0	245059.0	247420.0	248697.0	241745.0	243586.0	243350.0	243321.0	241435.0	232207.0
Total square meters occupied dwellings	Private rental	Polling area - 3. Syd	133656.0	136026.0	135044.0	125256.0	120917.0	138361.0	126456.0	124365.0	122645.0	118958.0	120951.0	121999.0	122015.0	123612.0	124908.0	123446.0	130381.0	130508.0	130692.0	135850.0	135162.0	137214.0	155037.0	162733.0	192607.0	207027.0	201491.0	197059.0	200376.0	201285.0	197226.0
Total square meters occupied dwellings	Private rental	Polling area - 3. Øst	404667.0	407310.0	410667.0	400615.0	394091.0	409221.0	395083.0	396530.0	384531.0	381675.0	382241.0	368362.0	361021.0	354973.0	348810.0	333603.0	338863.0	337871.0	341659.0	350633.0	365089.0	384705.0	384630.0	387554.0	389367.0	387777.0	395001.0	406715.0	398213.0	403632.0	400362.0
Total square meters occupied dwellings	Private rental	Polling area - 4. Sundbyøster	118330.0	116740.0	120113.0	120865.0	118448.0	137017.0	116661.0	107354.0	105101.0	101203.0	95434.0	92205.0	91009.0	87637.0	94669.0	106191.0	97529.0	117224.0	114434.0	106569.0	112884.0	112664.0	115703.0	115827.0	121865.0	133621.0	132564.0	140992.0	163174.0	191176.0	219857.0
Total square meters occupied dwellings	Private rental	Polling area - 4. Nord	241145.0	238876.0	239317.0	242854.0	244099.0	248682.0	235735.0	223821.0	217219.0	204052.0	203725.0	199164.0	197598.0	193242.0	191957.0	190627.0	189173.0	190133.0	182723.0	185480.0	188158.0	188379.0	195258.0	201317.0	196997.0	189932.0	189793.0	184038.0	182636.0	190822.0	192090.0
Total square meters occupied dwellings	Private rental	Polling area - 4. Syd	135080.0	125694.0	129382.0	127862.0	124004.0	140170.0	112309.0	92965.0	79317.0	73820.0	67149.0	67311.0	67733.0	67504.0	68186.0	64543.0	67988.0	68975.0	70095.0	73592.0	74026.0	72794.0	75231.0	76429.0	77071.0	76026.0	73728.0	71684.0	71036.0	72230.0	72091.0
Total square meters occupied dwellings	Private rental	Polling area - 4. Øst	93501.0	78225.0	80500.0	76309.0	74887.0	91476.0	89124.0	86790.0	68837.0	66862.0	66341.0	59477.0	57678.0	54843.0	58784.0	56623.0	62511.0	62444.0	61502.0	64264.0	66998.0	67379.0	73607.0	79894.0	115606.0	111104.0	110577.0	105765.0	106941.0	105907.0	111453.0
Total square meters occupied dwellings	Private rental	Polling area - 5. Nørrebro	73932.0	79864.0	78047.0	77797.0	77990.0	162999.0	79437.0	77376.0	65975.0	65424.0	64713.0	60142.0	57811.0	58139.0	57359.0	53335.0	53258.0	53511.0	54157.0	55126.0	56835.0	53583.0	54437.0	53317.0	52426.0	53433.0	52327.0	53578.0	52933.0	50402.0	52050.0
Total square meters occupied dwellings	Private rental	Polling area - 5. Nord	158874.0	154800.0	148313.0	146726.0	145994.0	163470.0	151456.0	151435.0	148871.0	147979.0	148058.0	143559.0	141692.0	141290.0	141140.0	137218.0	141535.0	130113.0	132543.0	135512.0	138829.0	141812.0	137630.0	137408.0	138455.0	133954.0	131746.0	132947.0	134257.0	139634.0	141712.0
Total square meters occupied dwellings	Private rental	Polling area - 5. Nørrebrohallen	82904.0	93450.0	94524.0	94333.0	95885.0	98510.0	98693.0	97583.0	98102.0	97032.0	95697.0	95546.0	93126.0	90652.0	86301.0	84101.0	87024.0	89757.0	137241.0	95027.0	143806.0	102061.0	102252.0	104433.0	117938.0	114474.0	111497.0	102259.0	107023.0	125862.0	127756.0
Total square meters occupied dwellings	Private rental	Polling area - 5. Syd	141614.0	137819.0	134461.0	136251.0	136164.0	138028.0	127315.0	129094.0	130034.0	122555.0	117172.0	109364.0	108096.0	103685.0	102152.0	97807.0	97025.0	96167.0	97001.0	97719.0	100158.0	99889.0	97290.0	94692.0	95133.0	84704.0	81934.0	81251.0	81765.0	81950.0	81362.0
Total square meters occupied dwellings	Private rental	Polling area - 5. Øst	178212.0	172420.0	172449.0	173581.0	174492.0	183411.0	174619.0	172667.0	172910.0	167465.0	169078.0	164276.0	164121.0	162370.0	154439.0	132681.0	134191.0	134163.0	135018.0	137354.0	137672.0	140171.0	145085.0	141875.0	139234.0	141083.0	139489.0	140958.0	136525.0	136046.0	139424.0
Total square meters occupied dwellings	Private rental	Polling area - 5. Vest	84048.0	80858.0	80503.0	79231.0	78140.0	148844.0	107717.0	99408.0	61132.0	63981.0	65392.0	63846.0	63509.0	64375.0	63873.0	63235.0	62241.0	62741.0	64467.0	65231.0	65402.0	64370.0	65325.0	65267.0	66710.0	59836.0	59266.0	57580.0	56398.0	56381.0	63622.0
Total square meters occupied dwellings	Private rental	Polling area - 5. Nordvest	145400.0	140276.0	141591.0	140925.0	107559.0	163883.0	116098.0	114546.0	104404.0	105269.0	103395.0	101470.0	98092.0	95977.0	95256.0	92644.0	92082.0	92417.0	98100.0	103349.0	107891.0	106463.0	109679.0	108145.0	110173.0	106533.0	101475.0	96441.0	98569.0	98901.0	102029.0
Total square meters occupied dwellings	Private rental	Polling area - 6. Bispebjerg	133468.0	134257.0	134107.0	133527.0	132110.0	150695.0	129271.0	127230.0	119163.0	118065.0	112648.0	109490.0	104866.0	92014.0	89049.0	83717.0	92425.0	110935.0	111575.0	118567.0	124022.0	124955.0	125021.0	127583.0	129287.0	127786.0	129650.0	136420.0	144613.0	142533.0	146252.0
Total square meters occupied dwellings	Private rental	Polling area - 6. Vest	43610.0	43344.0	43730.0	43196.0	50789.0	151011.0	81087.0	81118.0	80344.0	50304.0	50340.0	50609.0	47435.0	46525.0	46569.0	42988.0	20061.0	19736.0	20413.0	40334.0	20864.0	21146.0	21811.0	22448.0	22693.0	24104.0	23152.0	22965.0	43064.0	42080.0	42975.0
Total square meters occupied dwellings	Private rental	Polling area - 6. Nord	104217.0	98238.0	96677.0	93201.0	89143.0	120392.0	103061.0	105258.0	88362.0	84682.0	84677.0	85170.0	82641.0	82193.0	81264.0	70559.0	66813.0	75837.0	77212.0	81242.0	85709.0	85035.0	86112.0	91386.0	88761.0	87966.0	87759.0	87431.0	88822.0	89799.0	88383.0
Total square meters occupied dwellings	Private rental	Polling area - 6. Øst	13916.0	13024.0	13943.0	12330.0	12791.0	38142.0	14537.0	13720.0	14006.0	12009.0	10091.0	9370.0	8643.0	8414.0	13442.0	13766.0	9410.0	9978.0	12869.0	11860.0	12674.0	12311.0	13210.0	13247.0	12425.0	15554.0	15491.0	16007.0	20376.0	18952.0	18797.0
Total square meters occupied dwellings	Private rental	Polling area - 6. Syd	102684.0	102008.0	101794.0	87884.0	87358.0	173330.0	111259.0	108231.0	82201.0	85188.0	84131.0	81638.0	69809.0	69937.0	69562.0	110205.0	113023.0	119908.0	127667.0	129127.0	145648.0	174136.0	175032.0	177313.0	176790.0	178285.0	178823.0	177556.0	178533.0	182265.0	181084.0
Total square meters occupied dwellings	Private rental	Polling area - 7. Brønshøj	65259.0	64397.0	66828.0	64527.0	63187.0	63802.0	62484.0	62453.0	60750.0	59907.0	59388.0	58104.0	58164.0	52242.0	52960.0	52333.0	50542.0	51081.0	51482.0	53660.0	54176.0	59095.0	54823.0	57815.0	58563.0	57748.0	57853.0	58823.0	57922.0	57964.0	57231.0
Total square meters occupied dwellings	Private rental	Polling area - 7. Nord	169.0	169.0	169.0	169.0	169.0	169.0	15421.0	169.0	169.0	169.0	169.0	169.0	169.0	169.0	169.0	169.0	169.0	169.0	169.0	169.0	169.0	169.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	1454.0	3499.0
Total square meters occupied dwellings	Private rental	Polling area - 7. Syd	87867.0	88940.0	90200.0	87228.0	99785.0	124015.0	95716.0	93590.0	91021.0	90460.0	84580.0	83566.0	86191.0	87291.0	85993.0	89166.0	85974.0	86075.0	87129.0	97071.0	98231.0	123677.0	124889.0	128049.0	125999.0	125563.0	125492.0	125059.0	122274.0	123252.0	128332.0
Total square meters occupied dwellings	Private rental	Polling area - 7. Øst	53172.0	51130.0	51290.0	51390.0	50512.0	51411.0	48713.0	46247.0	45430.0	45293.0	43193.0	39797.0	39944.0	39671.0	40747.0	38575.0	43077.0	43920.0	43420.0	46502.0	49978.0	50026.0	52841.0	54186.0	54143.0	51438.0	52034.0	50198.0	57401.0	59586.0	57430.0
Total square meters occupied dwellings	Private rental	Polling area - 7. Vest	46596.0	44057.0	47057.0	39161.0	40041.0	60871.0	38115.0	37690.0	35220.0	34502.0	32309.0	30236.0	29022.0	28794.0	29154.0	26652.0	23248.0	23679.0	33364.0	27227.0	28722.0	29494.0	30800.0	31648.0	29029.0	28868.0	29223.0	28009.0	27948.0	29290.0	27540.0
Total square meters occupied dwellings	Private rental	Polling area - 7. Nordvest	81364.0	81914.0	88646.0	80750.0	78924.0	100956.0	81300.0	46210.0	39474.0	38106.0	37168.0	37468.0	37025.0	35464.0	35343.0	35125.0	32438.0	34831.0	36662.0	39082.0	39838.0	39296.0	42024.0	43753.0	43999.0	43520.0	43774.0	42202.0	42193.0	42837.0	44252.0
Total square meters occupied dwellings	Private rental	Polling area - 7. Katrinedal	77170.0	75615.0	77298.0	71772.0	72326.0	69350.0	60995.0	60520.0	58890.0	54573.0	66085.0	65442.0	65116.0	65718.0	63902.0	63632.0	63749.0	64194.0	64329.0	63311.0	66177.0	66174.0	67939.0	67821.0	66477.0	67050.0	66949.0	72242.0	79161.0	78597.0	75742.0
Total square meters occupied dwellings	Private rental	Polling area - 7. Kirkebjerg	78282.0	68824.0	75411.0	70981.0	69667.0	64778.0	60843.0	59338.0	61394.0	59922.0	47897.0	47380.0	43298.0	43828.0	42043.0	42428.0	42460.0	42240.0	38918.0	40141.0	39599.0	39836.0	41020.0	42159.0	42605.0	40714.0	42095.0	45631.0	46047.0	46951.0	47193.0
Total square meters occupied dwellings	Private rental	Polling area - 7. Vanløse	187492.0	183810.0	189770.0	189315.0	187043.0	169796.0	162815.0	164208.0	154071.0	153662.0	147941.0	146804.0	144105.0	142913.0	135726.0	134018.0	118768.0	121149.0	122339.0	125730.0	131592.0	136304.0	138471.0	138766.0	139517.0	134867.0	133950.0	130907.0	131011.0	132518.0	128170.0
Total square meters occupied dwellings	Private rental	Polling area - 8. Valby	82600.0	82648.0	86973.0	80181.0	78586.0	86212.0	77573.0	74732.0	70410.0	70698.0	69781.0	67776.0	66397.0	67470.0	65783.0	59774.0	60120.0	60237.0	58702.0	60704.0	59466.0	58695.0	61623.0	61047.0	62743.0	61554.0	59999.0	61499.0	59543.0	58368.0	60152.0
Total square meters occupied dwellings	Private rental	Polling area - 8. Nord	200230.0	189139.0	188351.0	184788.0	181006.0	194105.0	186608.0	185112.0	174067.0	171963.0	171337.0	172089.0	165098.0	153939.0	147610.0	163305.0	143976.0	139315.0	144925.0	152414.0	151537.0	164995.0	152018.0	152658.0	153546.0	153036.0	155735.0	155652.0	154126.0	150446.0	155329.0
Total square meters occupied dwellings	Private rental	Polling area - 8. Syd	53230.0	51765.0	60361.0	49201.0	43757.0	45729.0	44806.0	40133.0	38955.0	38394.0	37852.0	37455.0	37547.0	37293.0	36662.0	36535.0	36887.0	36556.0	36546.0	40786.0	38987.0	38204.0	39121.0	40604.0	41144.0	41832.0	41016.0	71839.0	89071.0	106919.0	149267.0
Total square meters occupied dwellings	Private rental	Polling area - 8. Vest	54697.0	53317.0	54999.0	54305.0	53467.0	101755.0	54184.0	53794.0	53784.0	48004.0	45975.0	45655.0	45539.0	22793.0	22492.0	23613.0	22968.0	22122.0	22174.0	28963.0	24097.0	21484.0	24065.0	24311.0	25550.0	24339.0	38072.0	38123.0	36479.0	40110.0	36576.0
Total square meters occupied dwellings	Private rental	Polling area - 8. Sydøst	44639.0	24774.0	26861.0	22609.0	22390.0	26283.0	25459.0	25024.0	25237.0	24405.0	20086.0	20723.0	19882.0	20363.0	20658.0	20214.0	17948.0	17864.0	19979.0	21055.0	21127.0	20022.0	19612.0	21238.0	20496.0	25923.0	36819.0	44675.0	53407.0	61365.0	51796.0
Total square meters occupied dwellings	Private rental	Polling area - 8. Midt	73107.0	72352.0	72194.0	72253.0	77919.0	100682.0	91366.0	83225.0	71342.0	69939.0	67901.0	67137.0	67494.0	55130.0	56636.0	55436.0	52282.0	72135.0	74883.0	74805.0	85257.0	85305.0	88498.0	102653.0	104465.0	110544.0	124138.0	135289.0	164421.0	182960.0	188890.0
Total square meters occupied dwellings	Private rental	Polling area - 9. Vesterbro	106111.0	99799.0	96130.0	93139.0	93079.0	164231.0	112500.0	112796.0	95085.0	93557.0	92096.0	89572.0	86654.0	86738.0	82158.0	80137.0	76953.0	77615.0	74485.0	77651.0	80024.0	81264.0	81410.0	75772.0	75429.0	73489.0	68694.0	67409.0	67698.0	65920.0	66993.0
Total square meters occupied dwellings	Private rental	Polling area - 9. Nord	153723.0	150647.0	151707.0	150000.0	143149.0	166815.0	156920.0	155845.0	153413.0	137117.0	132381.0	130611.0	128560.0	125196.0	121563.0	114582.0	105556.0	106086.0	106301.0	107976.0	109109.0	110361.0	109231.0	111563.0	113647.0	106417.0	104188.0	103338.0	101999.0	102430.0	103207.0
Total square meters occupied dwellings	Private rental	Polling area - 9. Syd	82328.0	72678.0	72913.0	74598.0	74154.0	75447.0	75328.0	69101.0	66235.0	46304.0	37667.0	36117.0	37020.0	35291.0	36769.0	36677.0	35500.0	37210.0	37631.0	35644.0	37191.0	33297.0	35043.0	36235.0	36289.0	35471.0	35350.0	39983.0	38839.0	38491.0	37402.0
Total square meters occupied dwellings	Private rental	Polling area - 9. Øst	182203.0	178100.0	176236.0	169692.0	169587.0	174933.0	160071.0	155572.0	142329.0	139396.0	130815.0	123808.0	126180.0	121282.0	121769.0	109447.0	110899.0	113254.0	110062.0	113657.0	114178.0	117687.0	116524.0	116003.0	117002.0	114846.0	111390.0	108682.0	110516.0	108580.0	105717.0
Total square meters occupied dwellings	Private rental	Polling area - 9. Vest	79294.0	76689.0	71640.0	67834.0	69601.0	144702.0	84630.0	82051.0	63003.0	62965.0	58611.0	57177.0	55403.0	45748.0	41554.0	40920.0	34387.0	33809.0	37153.0	38244.0	38054.0	38728.0	36684.0	36909.0	35886.0	35152.0	37601.0	55379.0	55355.0	58729.0	51909.0
Total square meters occupied dwellings	Private rental	Polling area - 9. Midt	24329.0	24025.0	24156.0	24799.0	24443.0	59768.0	52032.0	51264.0	31330.0	35409.0	34944.0	35219.0	35212.0	35300.0	34980.0	48356.0	48880.0	49843.0	50722.0	51076.0	51633.0	51420.0	52267.0	57226.0	52715.0	58287.0	56493.0	56989.0	56956.0	57694.0	60041.0
Total square meters occupied dwellings	Private rental	Polling area - 9. Sydhavn	876.0	797.0	797.0	722.0	727.0	485.0	485.0	406.0	406.0	406.0	230.0	230.0	230.0	230.0	1018.0	1415.0	43292.0	46239.0	80429.0	101585.0	117804.0	120040.0	113115.0	118482.0	125081.0	128935.0	199853.0	282668.0	340251.0	433961.0	486861.0
Total square meters occupied dwellings	Housing cooperative	Copenhagen total	4210394.0	4374570.0	4419723.0	4485022.0	4564903.0	4767051.0	5648092.0	5757442.0	6048670.0	6201553.0	6330437.0	6518960.0	6642285.0	6805328.0	6976872.0	7096536.0	7337596.0	7368339.0	7459459.0	7514569.0	7519931.0	7524061.0	7564233.0	7598676.0	7614137.0	7683632.0	7684173.0	7720892.0	7733834.0	7726645.0	7703915.0
Total square meters occupied dwellings	Housing cooperative	District - Indre By	334860.0	349237.0	352485.0	362911.0	374912.0	392371.0	433194.0	446693.0	459862.0	474953.0	491884.0	515634.0	531161.0	547791.0	564524.0	589173.0	609766.0	610486.0	614092.0	615008.0	615029.0	621012.0	626325.0	627859.0	624491.0	629800.0	638165.0	646121.0	648533.0	648665.0	649539.0
Total square meters occupied dwellings	Housing cooperative	District - Østerbro	885560.0	907373.0	914532.0	952299.0	958359.0	971123.0	1060704.0	1084337.0	1120272.0	1133654.0	1168064.0	1175734.0	1200106.0	1217516.0	1247097.0	1248974.0	1277155.0	1288339.0	1296867.0	1322480.0	1324290.0	1298617.0	1299748.0	1316398.0	1316332.0	1329346.0	1315747.0	1329877.0	1334986.0	1324101.0	1322323.0
Total square meters occupied dwellings	Housing cooperative	District - Nørrebro	762621.0	779359.0	798561.0	799053.0	836975.0	852463.0	1054082.0	1062106.0	1129600.0	1148502.0	1158056.0	1178911.0	1197436.0	1208745.0	1234064.0	1258369.0	1280696.0	1286650.0	1297492.0	1303994.0	1304253.0	1311666.0	1319625.0	1326949.0	1327801.0	1349165.0	1355993.0	1364356.0	1364660.0	1368745.0	1356364.0
Total square meters occupied dwellings	Housing cooperative	District - Vesterbro/Kongens Enghave	538103.0	563317.0	571556.0	575487.0	579694.0	613331.0	755562.0	775858.0	836578.0	881716.0	904983.0	911188.0	930768.0	952909.0	968928.0	995736.0	1032034.0	1033922.0	1052410.0	1063929.0	1064673.0	1065684.0	1071921.0	1078220.0	1083691.0	1092346.0	1099381.0	1094082.0	1096039.0	1096303.0	1096714.0
Total square meters occupied dwellings	Housing cooperative	District - Valby	341015.0	354027.0	353984.0	355099.0	354820.0	375413.0	441833.0	453457.0	473262.0	478948.0	487469.0	487687.0	494611.0	542538.0	552566.0	535879.0	560359.0	566197.0	575893.0	579979.0	581005.0	581223.0	581226.0	580526.0	584016.0	584785.0	573791.0	572744.0	597852.0	597674.0	589246.0
Total square meters occupied dwellings	Housing cooperative	District - Vanløse	294250.0	310417.0	313031.0	298165.0	297912.0	302793.0	345619.0	341301.0	343887.0	347229.0	357176.0	357854.0	359157.0	359096.0	372937.0	385552.0	409059.0	408969.0	414735.0	408845.0	410854.0	415598.0	415631.0	408715.0	406225.0	408887.0	409055.0	410473.0	415366.0	413553.0	412189.0
Total square meters occupied dwellings	Housing cooperative	District - Brønshøj-Husum	66738.0	69497.0	69278.0	88338.0	89236.0	89101.0	128642.0	135450.0	141303.0	141218.0	144766.0	150172.0	152075.0	156564.0	158944.0	162390.0	164355.0	164355.0	165103.0	165103.0	164808.0	164715.0	163909.0	165377.0	165351.0	164772.0	164666.0	164728.0	164936.0	164904.0	164904.0
Total square meters occupied dwellings	Housing cooperative	District - Bispebjerg	225184.0	236629.0	236507.0	240493.0	245013.0	258043.0	429138.0	432054.0	481903.0	508413.0	516661.0	523712.0	543043.0	559036.0	567235.0	578320.0	625793.0	625793.0	628240.0	628822.0	629283.0	635055.0	637650.0	635994.0	638790.0	639094.0	640169.0	640409.0	616420.0	616799.0	617054.0
Total square meters occupied dwellings	Housing cooperative	District - Amager Øst	457312.0	485040.0	487331.0	486980.0	498420.0	531490.0	587127.0	595367.0	623941.0	638255.0	650667.0	659416.0	665472.0	674375.0	686805.0	697465.0	710047.0	711909.0	741873.0	746100.0	745085.0	747978.0	746802.0	748220.0	749230.0	749799.0	745897.0	749380.0	746050.0	746451.0	746246.0
Total square meters occupied dwellings	Housing cooperative	District - Amager Vest	304751.0	319674.0	322458.0	326197.0	329562.0	380923.0	412191.0	430819.0	438062.0	448665.0	450711.0	558652.0	568456.0	586758.0	623772.0	644678.0	668332.0	671719.0	672754.0	680309.0	680651.0	682513.0	701396.0	710418.0	718210.0	735638.0	741309.0	748722.0	748992.0	749450.0	749336.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 1. Østerbro	174291.0	178878.0	179316.0	180022.0	180646.0	180662.0	185465.0	188913.0	191728.0	191648.0	210118.0	211070.0	216803.0	221943.0	235827.0	230501.0	232071.0	231978.0	233738.0	233228.0	233475.0	233567.0	233399.0	249259.0	249254.0	253804.0	250861.0	254021.0	254211.0	242648.0	240907.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 1. Øst	98016.0	100866.0	102746.0	103321.0	103050.0	103046.0	110252.0	117866.0	118902.0	122474.0	123734.0	123925.0	125932.0	126707.0	112127.0	112125.0	111962.0	111962.0	111685.0	111848.0	111878.0	112040.0	112216.0	112239.0	112253.0	112252.0	112142.0	113237.0	113252.0	113310.0	113365.0
Total square meters occupied dwellings	Housing cooperative	Polling area - 1. Nord	75164.0	78463.0	80173.0	79738.0	79356.0	80705.0	99163.0	99567.0	99695.0	99696.0	99686.0	99721.0	99721.0	99968.0	120175.0	120824.0	120262.0	120262.0	122234.0	122436.0	122212.0	122007.0	122283.0	121787.0	121881.0	122418.0	122494.0	133467.0	133467.0	133528.0	133516.0
